cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,icd_code,mur_male,mur_female,mur_persons
Glomerular diseases (N00-N08),no.,56,59,115,245,174,419,3.6,N00-N08,4.375,2.9491525423728815,3.643478260869565
Acute nephritic syndrome (N00),no.,15,27,42,112,103,215,5.1,N00,7.466666666666667,3.814814814814815,5.119047619047619
Rapidly progressive nephritic syndrome (N01),no.,0,0,0,0,0,0,NA,N01,NA,NA,NA
Recurrent and persistent haematuria (N02),no.,16,12,28,52,19,71,2.5,N02,3.25,1.5833333333333333,2.5357142857142856
Chronic nephritic syndrome (N03),no.,5,1,6,9,3,12,2,N03,1.8,3,2
Nephrotic syndrome (N04),no.,7,3,10,24,15,39,3.9,N04,3.4285714285714284,5,3.9
Unspecified nephritic syndrome (N05),no.,13,16,29,48,34,82,2.8,N05,3.6923076923076925,2.125,2.8275862068965516
Isolated proteinuria with specified morphological lesion (N06),no.,0,0,0,0,0,0,NA,N06,NA,NA,NA
"Hereditary nephropathy, not elsewhere classified (N07)",no.,0,0,0,0,0,0,NA,N07,NA,NA,NA
Renal tubulo-interstitial diseases (N10-N16),no.,83,88,171,444,331,775,4.5,N10-N16,5.349397590361446,3.7613636363636362,4.5321637426900585
Acute tubulo-interstitial nephritis (N10),no.,10,6,16,15,19,34,2.1,N10,1.5,3.1666666666666665,2.125
Chronic tubulo-interstitial nephritis (N11),no.,2,3,5,12,9,21,4.2,N11,6,3,4.2
"Tubulo-interstitial nephritis, not specified as acute or chronic (N12)",no.,11,25,36,68,74,142,3.9,N12,6.181818181818182,2.96,3.9444444444444446
Obstructive and reflux uropathy (N13),no.,54,44,98,324,203,527,5.4,N13,6,4.613636363636363,5.377551020408164
Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions (N14),no.,5,4,9,14,9,23,2.6,N14,2.8,2.25,2.5555555555555554
Other renal tubulo-interstitial diseases (N15),no.,1,6,7,11,17,28,4,N15,11,2.8333333333333335,4
Renal failure (N17-N19),no.,1527,1634,3161,13923,12674,26597,8.4,N17-N19,9.11787819253438,7.756425948592411,8.414109459031952
Acute renal failure (N17),no.,189,250,439,3003,2927,5930,13.5,N17,15.88888888888889,11.708,13.507972665148063
Chronic kidney disease (N18),no.,1117,1118,2235,8848,7828,16676,7.5,N18,7.921217547000896,7.001788908765653,7.461297539149888
Unspecified kidney failure (N19),no.,221,266,487,2072,1919,3991,8.2,N19,9.375565610859729,7.214285714285714,8.195071868583161
Urolithiasis (N20-N23),no.,49,50,99,134,105,239,2.4,N20-N23,2.7346938775510203,2.1,2.414141414141414
Calculus of kidney and ureter (N20),no.,41,50,91,122,100,222,2.4,N20,2.975609756097561,2,2.4395604395604398
Calculus of lower urinary tract (N21),no.,8,0,8,12,2,14,1.8,N21,1.5,NA,1.75
Unspecified renal colic (N23),no.,0,0,0,0,3,3,NA,N23,NA,NA,NA
Other disorders of kidney and ureter (N25-N29),no.,33,42,75,367,253,620,8.3,N25-N29,11.121212121212121,6.023809523809524,8.266666666666667
Disorders resulting from impaired renal tubular function (N25),no.,0,2,2,7,6,13,6.5,N25,NA,3,6.5
Unspecified contracted kidney (N26),no.,5,8,13,20,20,40,3.1,N26,4,2.5,3.076923076923077
Small kidney of unknown cause (N27),no.,0,0,0,1,0,1,NA,N27,NA,NA,NA
"Other disorders of kidney and ureter, not elsewhere classified (N28)",no.,28,32,60,339,227,566,9.4,N28,12.107142857142858,7.09375,9.433333333333334
Other diseases of urinary system (N30-N39),no.,468,721,1189,2229,2754,4983,4.2,N30-N39,4.762820512820513,3.8196948682385576,4.190916736753574
Cystitis (N30),no.,8,7,15,69,35,104,6.9,N30,8.625,5,6.933333333333334
"Neuromuscular dysfunction of bladder, not elsewhere classified (N31)",no.,5,5,10,23,17,40,4,N31,4.6,3.4,4
Other disorders of bladder (N32),no.,24,12,36,105,54,159,4.4,N32,4.375,4.5,4.416666666666667
Urethritis and urethral syndrome (N34),no.,0,0,0,1,0,1,NA,N34,NA,NA,NA
Urethral stricture (N35),no.,0,3,3,8,3,11,3.7,N35,NA,1,3.6666666666666665
Other disorders of urethra (N36),no.,2,1,3,8,3,11,3.7,N36,4,3,3.6666666666666665
Other disorders of urinary system (N39),no.,429,693,1122,2015,2642,4657,4.2,N39,4.696969696969697,3.8124098124098125,4.150623885918003
Diseases of male genital organs (N40-N51),no.,137,0,137,689,0,689,5,N40-N51,5.029197080291971,NA,5.029197080291971
Hyperplasia of prostate (N40),no.,89,0,89,565,0,565,6.3,N40,6.348314606741573,NA,6.348314606741573
Inflammatory diseases of prostate (N41),no.,12,0,12,30,0,30,2.5,N41,2.5,NA,2.5
Other disorders of prostate (N42),no.,2,0,2,28,0,28,14,N42,14,NA,14
Hydrocele and spermatocele (N43),no.,1,0,1,2,0,2,2,N43,2,NA,2
Torsion of testis (N44),no.,0,0,0,0,0,0,NA,N44,NA,NA,NA
Orchitis and epididymitis (N45),no.,8,0,8,16,0,16,2,N45,2,NA,2
Male infertility (N46),no.,0,0,0,0,0,0,NA,N46,NA,NA,NA
"Redundant prepuce, phimosis and paraphimosis (N47)",no.,0,0,0,2,0,2,NA,N47,NA,NA,NA
Other disorders of penis (N48),no.,1,0,1,3,0,3,3,N48,3,NA,3
"Inflammatory disorders of male genital organs, not elsewhere classified (N49)",no.,21,0,21,37,0,37,1.8,N49,1.7619047619047619,NA,1.7619047619047619
Other disorders of male genital organs (N50),no.,3,0,3,6,0,6,2,N50,2,NA,2
Disorders of breast (N60-N64),no.,0,4,4,3,23,26,6.5,N60-N64,NA,5.75,6.5
Benign mammary dysplasia (N60),no.,0,0,0,0,0,0,NA,N60,NA,NA,NA
Inflammatory disorders of breast (N61),no.,0,1,1,0,9,9,9,N61,NA,9,9
Hypertrophy of breast (N62),no.,0,0,0,1,0,1,NA,N62,NA,NA,NA
Unspecified lump in breast (N63),no.,0,2,2,0,8,8,4,N63,NA,4,4
Other disorders of breast (N64),no.,0,1,1,2,6,8,8,N64,NA,6,8
Inflammatory diseases of female pelvic organs (N70-N77),no.,0,10,10,0,30,30,3,N70-N77,NA,3,3
Salpingitis and oophoritis (N70),no.,0,3,3,0,7,7,2.3,N70,NA,2.3333333333333335,2.3333333333333335
"Inflammatory disease of uterus, except cervix (N71)",no.,0,1,1,0,2,2,2,N71,NA,2,2
Inflammatory disease of cervix uteri (N72),no.,0,0,0,0,0,0,NA,N72,NA,NA,NA
Other female pelvic inflammatory diseases (N73),no.,0,3,3,0,17,17,5.7,N73,NA,5.666666666666667,5.666666666666667
Diseases of Bartholin gland (N75),no.,0,0,0,0,0,0,NA,N75,NA,NA,NA
Other inflammation of vagina and vulva (N76),no.,0,3,3,0,4,4,1.3,N76,NA,1.3333333333333333,1.3333333333333333
Noninflammatory disorders of female genital tract (N80-N98),no.,0,41,41,0,171,171,4.2,N80-N98,NA,4.170731707317073,4.170731707317073
Endometriosis (N80),no.,0,1,1,0,20,20,20,N80,NA,20,20
Female genital prolapse (N81),no.,0,6,6,0,19,19,3.2,N81,NA,3.1666666666666665,3.1666666666666665
Fistulae involving female genital tract (N82),no.,0,9,9,0,25,25,2.8,N82,NA,2.7777777777777777,2.7777777777777777
"Noninflammatory disorders of ovary, fallopian tube and broad ligament (N83)",no.,0,8,8,0,23,23,2.9,N83,NA,2.875,2.875
Polyp of female genital tract (N84),no.,0,1,1,0,1,1,1,N84,NA,1,1
"Other noninflammatory disorders of uterus, except cervix (N85)",no.,0,11,11,0,36,36,3.3,N85,NA,3.272727272727273,3.272727272727273
Erosion and ectropion of cervix uteri (N86),no.,0,0,0,0,0,0,NA,N86,NA,NA,NA
Dysplasia of cervix uteri (N87),no.,0,0,0,0,0,0,NA,N87,NA,NA,NA
Other noninflammatory disorders of cervix uteri (N88),no.,0,0,0,0,3,3,NA,N88,NA,NA,NA
Other noninflammatory disorders of vagina (N89),no.,0,0,0,0,0,0,NA,N89,NA,NA,NA
Other noninflammatory disorders of vulva and perineum (N90),no.,0,0,0,0,1,1,NA,N90,NA,NA,NA
"Absent, scanty and rare menstruation (N91)",no.,0,0,0,0,0,0,NA,N91,NA,NA,NA
"Excessive, frequent and irregular menstruation (N92)",no.,0,0,0,0,4,4,NA,N92,NA,NA,NA
Other abnormal uterine and vaginal bleeding (N93),no.,0,3,3,0,28,28,9.3,N93,NA,9.333333333333334,9.333333333333334
Pain and other conditions associated with female genital organs and menstrual cycle (N94),no.,0,0,0,0,3,3,NA,N94,NA,NA,NA
Menopausal and other perimenopausal disorders (N95),no.,0,2,2,0,7,7,3.5,N95,NA,3.5,3.5
Habitual aborter (N96),no.,0,0,0,0,0,0,NA,N96,NA,NA,NA
Female infertility (N97),no.,0,0,0,0,0,0,NA,N97,NA,NA,NA
Complications associated with artificial fertilization (N98),no.,0,0,0,0,1,1,NA,N98,NA,NA,NA
Other disorders of the genitourinary system (N99-N99),no.,0,0,0,0,2,2,NA,N99-N99,NA,NA,NA
"Postprocedural disorders of genitourinary system, not elsewhere classified (N99)",no.,0,0,0,0,2,2,NA,N99,NA,NA,NA
"CHAPTER XV Pregnancy, childbirth and the puerperium (O00-O99)",no.,0,5,5,0,16,16,3.2,O00-O99,NA,3.2,3.2
Pregnancy with abortive outcome (O00-O08),no.,0,0,0,0,0,0,NA,O00-O08,NA,NA,NA
Ectopic pregnancy (O00),no.,0,0,0,0,0,0,NA,O00,NA,NA,NA
Hydatidiform mole (O01),no.,0,0,0,0,0,0,NA,O01,NA,NA,NA
Other abnormal products of conception (O02),no.,0,0,0,0,0,0,NA,O02,NA,NA,NA
Spontaneous abortion (O03),no.,0,0,0,0,0,0,NA,O03,NA,NA,NA
Medical abortion (O04),no.,0,0,0,0,0,0,NA,O04,NA,NA,NA
Other abortion (O05),no.,0,0,0,0,0,0,NA,O05,NA,NA,NA
Unspecified abortion (O06),no.,0,0,0,0,0,0,NA,O06,NA,NA,NA
Failed attempted abortion (O07),no.,0,0,0,0,0,0,NA,O07,NA,NA,NA
Complications following abortion and ectopic and molar pregnancy (O08),no.,0,0,0,0,0,0,NA,O08,NA,NA,NA
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",no.,0,0,0,0,1,1,NA,O10-O16,NA,NA,NA
"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium (O10)",no.,0,0,0,0,0,0,NA,O10,NA,NA,NA
Pre-existing hypertensive disorder with superimposed proteinuria (O11),no.,0,0,0,0,0,0,NA,O11,NA,NA,NA
Gestational [pregnancy-induced] oedema and proteinuria without hypertension (O12),no.,0,0,0,0,0,0,NA,O12,NA,NA,NA
Gestational [pregnancy-induced] hypertension without significant proteinuria (O13),no.,0,0,0,0,0,0,NA,O13,NA,NA,NA
Gestational [pregnancy-induced] hypertension with significant proteinuria (O14),no.,0,0,0,0,1,1,NA,O14,NA,NA,NA
Eclampsia (O15),no.,0,0,0,0,0,0,NA,O15,NA,NA,NA
Unspecified maternal hypertension (O16),no.,0,0,0,0,0,0,NA,O16,NA,NA,NA
Other maternal disorders predominantly related to pregnancy (O20-O29),no.,0,0,0,0,1,1,NA,O20-O29,NA,NA,NA
Haemorrhage in early pregnancy (O20),no.,0,0,0,0,0,0,NA,O20,NA,NA,NA
Excessive vomiting in pregnancy (O21),no.,0,0,0,0,0,0,NA,O21,NA,NA,NA
Venous complications in pregnancy (O22),no.,0,0,0,0,0,0,NA,O22,NA,NA,NA
Infections of genitourinary tract in pregnancy (O23),no.,0,0,0,0,0,0,NA,O23,NA,NA,NA
Diabetes mellitus in pregnancy (O24),no.,0,0,0,0,1,1,NA,O24,NA,NA,NA
Malnutrition in pregnancy (O25),no.,0,0,0,0,0,0,NA,O25,NA,NA,NA
Maternal care for other conditions predominantly related to pregnancy (O26),no.,0,0,0,0,0,0,NA,O26,NA,NA,NA
Abnormal findings on antenatal screening of mother (O28),no.,0,0,0,0,0,0,NA,O28,NA,NA,NA
Complications of anaesthesia during pregnancy (O29),no.,0,0,0,0,0,0,NA,O29,NA,NA,NA
Maternal care related to the fetus and amniotic cavity and possible delivery problems (O30-O48),no.,0,2,2,0,4,4,2,O30-O48,NA,2,2
Multiple gestation (O30),no.,0,0,0,0,0,0,NA,O30,NA,NA,NA
Complications specific to multiple gestation (O31),no.,0,0,0,0,0,0,NA,O31,NA,NA,NA
Maternal care for known or suspected malpresentation of fetus (O32),no.,0,0,0,0,0,0,NA,O32,NA,NA,NA
Maternal care for known or suspected disproportion (O33),no.,0,0,0,0,0,0,NA,O33,NA,NA,NA
Maternal care for known or suspected abnormality of pelvic organs (O34),no.,0,0,0,0,1,1,NA,O34,NA,NA,NA
Maternal care for known or suspected fetal abnormality and damage (O35),no.,0,0,0,0,0,0,NA,O35,NA,NA,NA
Maternal care for other known or suspected fetal problems (O36),no.,0,0,0,0,0,0,NA,O36,NA,NA,NA
Polyhydramnios (O40),no.,0,0,0,0,0,0,NA,O40,NA,NA,NA
Other disorders of amniotic fluid and membranes (O41),no.,0,1,1,0,1,1,1,O41,NA,1,1
Premature rupture of membranes (O42),no.,0,0,0,0,0,0,NA,O42,NA,NA,NA
Placental disorders (O43),no.,0,1,1,0,2,2,2,O43,NA,2,2
Placenta praevia (O44),no.,0,0,0,0,0,0,NA,O44,NA,NA,NA
Premature separation of placenta [abruptio placentae] (O45),no.,0,0,0,0,0,0,NA,O45,NA,NA,NA
"Antepartum haemorrhage, not elsewhere classified (O46)",no.,0,0,0,0,0,0,NA,O46,NA,NA,NA
False labour (O47),no.,0,0,0,0,0,0,NA,O47,NA,NA,NA
Prolonged pregnancy (O48),no.,0,0,0,0,0,0,NA,O48,NA,NA,NA
Complications of labour and delivery (O60-O75),no.,0,0,0,0,3,3,NA,O60-O75,NA,NA,NA
Preterm labour and delivery (O60),no.,0,0,0,0,1,1,NA,O60,NA,NA,NA
Failed induction of labour (O61),no.,0,0,0,0,0,0,NA,O61,NA,NA,NA
Abnormalities of forces of labour (O62),no.,0,0,0,0,0,0,NA,O62,NA,NA,NA
Long labour (O63),no.,0,0,0,0,0,0,NA,O63,NA,NA,NA
Obstructed labour due to malposition and malpresentation of fetus (O64),no.,0,0,0,0,0,0,NA,O64,NA,NA,NA
Obstructed labour due to maternal pelvic abnormality (O65),no.,0,0,0,0,0,0,NA,O65,NA,NA,NA
Other obstructed labour (O66),no.,0,0,0,0,0,0,NA,O66,NA,NA,NA
"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified (O67)",no.,0,0,0,0,0,0,NA,O67,NA,NA,NA
Labour and delivery complicated by fetal stress [distress] (O68),no.,0,0,0,0,0,0,NA,O68,NA,NA,NA
Labour and delivery complicated by umbilical cord complications (O69),no.,0,0,0,0,0,0,NA,O69,NA,NA,NA
Perineal laceration during delivery (O70),no.,0,0,0,0,0,0,NA,O70,NA,NA,NA
Other obstetric trauma (O71),no.,0,0,0,0,0,0,NA,O71,NA,NA,NA
Postpartum haemorrhage (O72),no.,0,0,0,0,1,1,NA,O72,NA,NA,NA
"Retained placenta and membranes, without haemorrhage (O73)",no.,0,0,0,0,1,1,NA,O73,NA,NA,NA
Complications of anaesthesia during labour and delivery (O74),no.,0,0,0,0,0,0,NA,O74,NA,NA,NA
"Other complications of labour and delivery, not elsewhere classified (O75)",no.,0,0,0,0,0,0,NA,O75,NA,NA,NA
Delivery (O80-O84),no.,0,0,0,0,0,0,NA,O80-O84,NA,NA,NA
Single spontaneous delivery (O80),no.,0,0,0,0,0,0,NA,O80,NA,NA,NA
Single delivery by forceps and vacuum extractor (O81),no.,0,0,0,0,0,0,NA,O81,NA,NA,NA
Single delivery by caesarean section (O82),no.,0,0,0,0,0,0,NA,O82,NA,NA,NA
Other assisted single delivery (O83),no.,0,0,0,0,0,0,NA,O83,NA,NA,NA
Multiple delivery (O84),no.,0,0,0,0,0,0,NA,O84,NA,NA,NA
Complications predominantly related to the puerperium (O85-O92),no.,0,1,1,0,1,1,1,O85-O92,NA,1,1
Puerperal sepsis (O85),no.,0,0,0,0,0,0,NA,O85,NA,NA,NA
Other puerperal infections (O86),no.,0,0,0,0,0,0,NA,O86,NA,NA,NA
Venous complications in the puerperium (O87),no.,0,0,0,0,0,0,NA,O87,NA,NA,NA
Obstetric embolism (O88),no.,0,0,0,0,0,0,NA,O88,NA,NA,NA
Complications of anaesthesia during the puerperium (O89),no.,0,0,0,0,0,0,NA,O89,NA,NA,NA
"Complications of the puerperium, not elsewhere classified (O90)",no.,0,1,1,0,1,1,1,O90,NA,1,1
Infections of breast associated with childbirth (O91),no.,0,0,0,0,0,0,NA,O91,NA,NA,NA
Other disorders of breast and lactation associated with childbirth (O92),no.,0,0,0,0,0,0,NA,O92,NA,NA,NA
Other obstetric conditions (O95-O99),no.,0,2,2,0,6,6,3,O95-O99,NA,3,3
Obstetric death of unspecified cause (O95),no.,0,0,0,0,1,1,NA,O95,NA,NA,NA
Death from any obstetric cause occurring more than 42 days but less than one year after delivery (O96),no.,0,0,0,0,0,0,NA,O96,NA,NA,NA
Death from sequelae of direct obstetric causes (O97),no.,0,0,0,0,0,0,NA,O97,NA,NA,NA
"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium (O98)",no.,0,1,1,0,1,1,1,O98,NA,1,1
"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium (O99)",no.,0,1,1,0,4,4,4,O99,NA,4,4
CHAPTER XVI Certain conditions originating in the perinatal period (P00-P96),no.,313,253,566,939,789,1728,3.1,P00-P96,3,3.1185770750988144,3.0530035335689045
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",no.,168,134,302,238,210,448,1.5,P00-P04,1.4166666666666667,1.5671641791044777,1.4834437086092715
Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy (P00),no.,18,25,43,22,32,54,1.3,P00,1.2222222222222223,1.28,1.255813953488372
Fetus and newborn affected by maternal complications of pregnancy (P01),no.,69,48,117,93,67,160,1.4,P01,1.3478260869565217,1.3958333333333333,1.3675213675213675
"Fetus and newborn affected by complications of placenta, cord and membranes (P02)",no.,47,48,95,60,71,131,1.4,P02,1.2765957446808511,1.4791666666666667,1.3789473684210527
Fetus and newborn affected by other complications of labour and delivery (P03),no.,34,12,46,63,38,101,2.2,P03,1.8529411764705883,3.1666666666666665,2.1956521739130435
Fetus and newborn affected by noxious influences transmitted via placenta or breast milk (P04),no.,0,1,1,0,2,2,2,P04,NA,2,2
Disorders related to length of gestation and fetal growth (P05-P08),no.,22,28,50,288,206,494,9.9,P05-P08,13.090909090909092,7.357142857142857,9.88
Slow fetal growth and fetal malnutrition (P05),no.,1,3,4,12,15,27,6.8,P05,12,5,6.75
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",no.,21,25,46,273,190,463,10.1,P07,13,7.6,10.065217391304348
Disorders related to long gestation and high birth weight (P08),no.,0,0,0,3,1,4,NA,P08,NA,NA,NA
Birth trauma (P10-P15),no.,0,1,1,1,4,5,5,P10-P15,NA,4,5
Intracranial laceration and haemorrhage due to birth injury (P10),no.,0,0,0,0,0,0,NA,P10,NA,NA,NA
Other birth injuries to central nervous system (P11),no.,0,1,1,1,3,4,4,P11,NA,3,4
Birth injury to scalp (P12),no.,0,0,0,0,0,0,NA,P12,NA,NA,NA
Birth injury to skeleton (P13),no.,0,0,0,0,0,0,NA,P13,NA,NA,NA
Birth injury to peripheral nervous system (P14),no.,0,0,0,0,0,0,NA,P14,NA,NA,NA
Other birth injuries (P15),no.,0,0,0,0,1,1,NA,P15,NA,NA,NA
Respiratory and cardiovascular disorders specific to the perinatal period (P20-P29),no.,25,16,41,128,137,265,6.5,P20-P29,5.12,8.5625,6.463414634146342
Intrauterine hypoxia (P20),no.,1,0,1,4,3,7,7,P20,4,NA,7
Birth asphyxia (P21),no.,2,0,2,12,14,26,13,P21,6,NA,13
Respiratory distress of newborn (P22),no.,3,2,5,15,17,32,6.4,P22,5,8.5,6.4
Congenital pneumonia (P23),no.,1,0,1,2,2,4,4,P23,2,NA,4
Neonatal aspiration syndromes (P24),no.,2,2,4,4,6,10,2.5,P24,2,3,2.5
Interstitial emphysema and related conditions originating in the perinatal period (P25),no.,2,2,4,11,5,16,4,P25,5.5,2.5,4
Pulmonary haemorrhage originating in the perinatal period (P26),no.,1,1,2,5,5,10,5,P26,5,5,5
Chronic respiratory disease originating in the perinatal period (P27),no.,6,0,6,11,7,18,3,P27,1.8333333333333333,NA,3
Other respiratory conditions originating in the perinatal period (P28),no.,3,4,7,29,24,53,7.6,P28,9.666666666666666,6,7.571428571428571
Cardiovascular disorders originating in the perinatal period (P29),no.,4,5,9,35,54,89,9.9,P29,8.75,10.8,9.88888888888889
Infections specific to the perinatal period (P35-P39),no.,19,11,30,46,31,77,2.6,P35-P39,2.4210526315789473,2.8181818181818183,2.566666666666667
Congenital viral diseases (P35),no.,5,4,9,12,5,17,1.9,P35,2.4,1.25,1.8888888888888888
Bacterial sepsis of newborn (P36),no.,13,6,19,32,25,57,3,P36,2.4615384615384617,4.166666666666667,3
Other congenital infectious and parasitic diseases (P37),no.,0,1,1,0,1,1,1,P37,NA,1,1
Omphalitis of newborn with or without mild haemorrhage (P38),no.,0,0,0,0,0,0,NA,P38,NA,NA,NA
Other infections specific to the perinatal period (P39),no.,1,0,1,2,0,2,2,P39,2,NA,2
Haemorrhagic and haematological disorders of fetus and newborn (P50-P61),no.,15,19,34,55,45,100,2.9,P50-P61,3.6666666666666665,2.3684210526315788,2.9411764705882355
Fetal blood loss (P50),no.,0,2,2,1,2,3,1.5,P50,NA,1,1.5
Umbilical haemorrhage of newborn (P51),no.,0,0,0,0,0,0,NA,P51,NA,NA,NA
Intracranial nontraumatic haemorrhage of fetus and newborn (P52),no.,14,15,29,41,31,72,2.5,P52,2.9285714285714284,2.066666666666667,2.4827586206896552
Haemorrhagic disease of fetus and newborn (P53),no.,0,0,0,0,0,0,NA,P53,NA,NA,NA
Other neonatal haemorrhages (P54),no.,0,0,0,1,1,2,NA,P54,NA,NA,NA
Haemolytic disease of fetus and newborn (P55),no.,0,0,0,2,1,3,NA,P55,NA,NA,NA
Hydrops fetalis due to haemolytic disease (P56),no.,0,0,0,0,0,0,NA,P56,NA,NA,NA
Kernicterus (P57),no.,0,0,0,0,0,0,NA,P57,NA,NA,NA
Neonatal jaundice due to other excessive haemolysis (P58),no.,0,0,0,0,0,0,NA,P58,NA,NA,NA
Neonatal jaundice from other and unspecified causes (P59),no.,0,0,0,2,1,3,NA,P59,NA,NA,NA
Disseminated intravascular coagulation of fetus and newborn (P60),no.,0,1,1,1,5,6,6,P60,NA,5,6
Other perinatal haematological disorders (P61),no.,1,1,2,7,4,11,5.5,P61,7,4,5.5
Transitory endocrine and metabolic disorders specific to fetus and newborn (P70-P74),no.,0,2,2,8,11,19,9.5,P70-P74,NA,5.5,9.5
Transitory disorders of carbohydrate metabolism specific to fetus and newborn (P70),no.,0,2,2,7,9,16,8,P70,NA,4.5,8
Transitory neonatal disorders of calcium and magnesium metabolism (P71),no.,0,0,0,0,0,0,NA,P71,NA,NA,NA
Other transitory neonatal endocrine disorders (P72),no.,0,0,0,0,0,0,NA,P72,NA,NA,NA
Other transitory neonatal electrolyte and metabolic disturbances (P74),no.,0,0,0,1,2,3,NA,P74,NA,NA,NA
Digestive system disorders of fetus and newborn (P75-P78),no.,14,5,19,30,10,40,2.1,P75-P78,2.142857142857143,2,2.1052631578947367
Other intestinal obstruction of newborn (P76),no.,0,0,0,3,0,3,NA,P76,NA,NA,NA
Necrotizing enterocolitis of fetus and newborn (P77),no.,9,4,13,15,7,22,1.7,P77,1.6666666666666667,1.75,1.6923076923076923
Other perinatal digestive system disorders (P78),no.,5,1,6,12,3,15,2.5,P78,2.4,3,2.5
Conditions involving the integument and temperature regulation of fetus and newborn (P80-P83),no.,2,7,9,5,10,15,1.7,P80-P83,2.5,1.4285714285714286,1.6666666666666667
Hypothermia of newborn (P80),no.,0,0,0,0,0,0,NA,P80,NA,NA,NA
Other disturbances of temperature regulation of newborn (P81),no.,0,0,0,0,0,0,NA,P81,NA,NA,NA
Other conditions of integument specific to fetus and newborn (P83),no.,2,7,9,5,10,15,1.7,P83,2.5,1.4285714285714286,1.6666666666666667
Other disorders originating in the perinatal period (P90-P96),no.,48,30,78,140,125,265,3.4,P90-P96,2.9166666666666665,4.166666666666667,3.3974358974358974
Convulsions of newborn (P90),no.,0,0,0,1,2,3,NA,P90,NA,NA,NA
Other disturbances of cerebral status of newborn (P91),no.,8,9,17,27,41,68,4,P91,3.375,4.555555555555555,4
Feeding problems of newborn (P92),no.,0,0,0,0,1,1,NA,P92,NA,NA,NA
Reactions and intoxications due to drugs administered to fetus and newborn (P93),no.,0,0,0,0,0,0,NA,P93,NA,NA,NA
Disorders of muscle tone of newborn (P94),no.,0,0,0,0,2,2,NA,P94,NA,NA,NA
Fetal death of unspecified cause (P95),no.,0,0,0,0,0,0,NA,P95,NA,NA,NA
Other conditions originating in the perinatal period (P96),no.,40,21,61,112,79,191,3.1,P96,2.8,3.761904761904762,3.1311475409836067
"CHAPTER XVII Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",no.,333,317,650,704,629,1333,2.1,Q00-Q99,2.114114114114114,1.9842271293375395,2.0507692307692307
Congenital malformations of the nervous system (Q00-Q07),no.,31,24,55,59,51,110,2,Q00-Q07,1.903225806451613,2.125,2
Anencephaly and similar malformations (Q00),no.,7,3,10,7,3,10,1,Q00,1,1,1
Encephalocele (Q01),no.,0,1,1,0,1,1,1,Q01,NA,1,1
Microcephaly (Q02),no.,0,2,2,1,3,4,2,Q02,NA,1.5,2
Congenital hydrocephalus (Q03),no.,5,3,8,8,5,13,1.6,Q03,1.6,1.6666666666666667,1.625
Other congenital malformations of brain (Q04),no.,9,6,15,21,16,37,2.5,Q04,2.3333333333333335,2.6666666666666665,2.466666666666667
Spina bifida (Q05),no.,8,5,13,18,17,35,2.7,Q05,2.25,3.4,2.6923076923076925
Other congenital malformations of spinal cord (Q06),no.,0,0,0,1,0,1,NA,Q06,NA,NA,NA
Other congenital malformations of nervous system (Q07),no.,2,4,6,3,6,9,1.5,Q07,1.5,1.5,1.5
"Congenital malformations of eye, ear, face and neck (Q10-Q18)",no.,0,0,0,2,1,3,NA,Q10-Q18,NA,NA,NA
"Congenital malformations of eyelid, lacrimal apparatus and orbit (Q10)",no.,0,0,0,0,1,1,NA,Q10,NA,NA,NA
"Anophthalmos, microphthalmos and macrophthalmos (Q11)",no.,0,0,0,0,0,0,NA,Q11,NA,NA,NA
Congenital lens malformations (Q12),no.,0,0,0,0,0,0,NA,Q12,NA,NA,NA
Congenital malformations of anterior segment of eye (Q13),no.,0,0,0,2,0,2,NA,Q13,NA,NA,NA
Congenital malformations of posterior segment of eye (Q14),no.,0,0,0,0,0,0,NA,Q14,NA,NA,NA
Other congenital malformations of eye (Q15),no.,0,0,0,0,0,0,NA,Q15,NA,NA,NA
Congenital malformations of ear causing impairment of hearing (Q16),no.,0,0,0,0,0,0,NA,Q16,NA,NA,NA
Other congenital malformations of ear (Q17),no.,0,0,0,0,0,0,NA,Q17,NA,NA,NA
Other congenital malformations of face and neck (Q18),no.,0,0,0,0,0,0,NA,Q18,NA,NA,NA
Congenital malformations of the circulatory system (Q20-Q28),no.,86,84,170,212,186,398,2.3,Q20-Q28,2.4651162790697674,2.2142857142857144,2.3411764705882354
Congenital malformations of cardiac chambers and connections (Q20),no.,5,7,12,11,11,22,1.8,Q20,2.2,1.5714285714285714,1.8333333333333333
Congenital malformations of cardiac septa (Q21),no.,17,20,37,47,55,102,2.8,Q21,2.764705882352941,2.75,2.7567567567567566
Congenital malformations of pulmonary and tricuspid valves (Q22),no.,5,4,9,6,10,16,1.8,Q22,1.2,2.5,1.7777777777777777
