cause_icd10,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,extra_1,icd10_code,cause_name,is_chapter,is_total,ratio_persons,ratio_male,ratio_female
Chronic nephritic syndrome (N03),no.,5,1,6,9,3,12,2,N03,Chronic nephritic syndrome,FALSE,FALSE,2,1.8,3
Nephrotic syndrome (N04),no.,7,3,10,24,15,39,3.9,N04,Nephrotic syndrome,FALSE,FALSE,3.9,3.4285714285714284,5
Unspecified nephritic syndrome (N05),no.,13,16,29,48,34,82,2.8,N05,Unspecified nephritic syndrome,FALSE,FALSE,2.8275862068965516,3.6923076923076925,2.125
Isolated proteinuria with specified morphological lesion (N06),no.,0,0,0,0,0,0,—,N06,Isolated proteinuria with specified morphological lesion,FALSE,FALSE,NA,NA,NA
"Hereditary nephropathy, not elsewhere classified (N07)",no.,0,0,0,0,0,0,—,N07,"Hereditary nephropathy, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Renal tubulo-interstitial diseases (N10-N16),no.,83,88,171,444,331,775,4.5,N10-N16,Renal tubulo-interstitial diseases,FALSE,FALSE,4.5321637426900585,5.349397590361446,3.7613636363636362
Acute tubulo-interstitial nephritis (N10),no.,10,6,16,15,19,34,2.1,N10,Acute tubulo-interstitial nephritis,FALSE,FALSE,2.125,1.5,3.1666666666666665
Chronic tubulo-interstitial nephritis (N11),no.,2,3,5,12,9,21,4.2,N11,Chronic tubulo-interstitial nephritis,FALSE,FALSE,4.2,6,3
"Tubulo-interstitial nephritis, not specified as acute or chronic (N12)",no.,11,25,36,68,74,142,3.9,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",FALSE,FALSE,3.9444444444444446,6.181818181818182,2.96
Obstructive and reflux uropathy (N13),no.,54,44,98,324,203,527,5.4,N13,Obstructive and reflux uropathy,FALSE,FALSE,5.377551020408164,6,4.613636363636363
Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions (N14),no.,5,4,9,14,9,23,2.6,N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,FALSE,FALSE,2.5555555555555554,2.8,2.25
Other renal tubulo-interstitial diseases (N15),no.,1,6,7,11,17,28,4,N15,Other renal tubulo-interstitial diseases,FALSE,FALSE,4,11,2.8333333333333335
Renal failure (N17-N19),no.,1527,1634,3161,13923,12674,26597,8.4,N17-N19,Renal failure,FALSE,FALSE,8.414109459031952,9.11787819253438,7.756425948592411
Acute renal failure (N17),no.,189,250,439,3003,2927,5930,13.5,N17,Acute renal failure,FALSE,FALSE,13.507972665148063,15.88888888888889,11.708
Chronic kidney disease (N18),no.,1117,1118,2235,8848,7828,16676,7.5,N18,Chronic kidney disease,FALSE,FALSE,7.461297539149888,7.921217547000896,7.001788908765653
Unspecified kidney failure (N19),no.,221,266,487,2072,1919,3991,8.1999999999999993,N19,Unspecified kidney failure,FALSE,FALSE,8.195071868583161,9.375565610859729,7.214285714285714
Urolithiasis (N20-N23),no.,49,50,99,134,105,239,2.4,N20-N23,Urolithiasis,FALSE,FALSE,2.414141414141414,2.7346938775510203,2.1
Calculus of kidney and ureter (N20),no.,41,50,91,122,100,222,2.4,N20,Calculus of kidney and ureter,FALSE,FALSE,2.4395604395604398,2.975609756097561,2
Calculus of lower urinary tract (N21),no.,8,0,8,12,2,14,1.8,N21,Calculus of lower urinary tract,FALSE,FALSE,1.75,1.5,NA
Unspecified renal colic (N23),no.,0,0,0,0,3,3,—,N23,Unspecified renal colic,FALSE,FALSE,NA,NA,NA
Other disorders of kidney and ureter (N25-N29),no.,33,42,75,367,253,620,8.3000000000000007,N25-N29,Other disorders of kidney and ureter,FALSE,FALSE,8.266666666666667,11.121212121212121,6.023809523809524
Disorders resulting from impaired renal tubular function (N25),no.,0,2,2,7,6,13,6.5,N25,Disorders resulting from impaired renal tubular function,FALSE,FALSE,6.5,NA,3
Unspecified contracted kidney (N26),no.,5,8,13,20,20,40,3.1,N26,Unspecified contracted kidney,FALSE,FALSE,3.076923076923077,4,2.5
Small kidney of unknown cause (N27),no.,0,0,0,1,0,1,—,N27,Small kidney of unknown cause,FALSE,FALSE,NA,NA,NA
"Other disorders of kidney and ureter, not elsewhere classified (N28)",no.,28,32,60,339,227,566,9.4,N28,"Other disorders of kidney and ureter, not elsewhere classified",FALSE,FALSE,9.433333333333334,12.107142857142858,7.09375
Other diseases of urinary system (N30-N39),no.,468,721,1189,2229,2754,4983,4.2,N30-N39,Other diseases of urinary system,FALSE,FALSE,4.190916736753574,4.762820512820513,3.8196948682385576
Cystitis (N30),no.,8,7,15,69,35,104,6.9,N30,Cystitis,FALSE,FALSE,6.933333333333334,8.625,5
"Neuromuscular dysfunction of bladder, not elsewhere classified (N31)",no.,5,5,10,23,17,40,4,N31,"Neuromuscular dysfunction of bladder, not elsewhere classified",FALSE,FALSE,4,4.6,3.4
Other disorders of bladder (N32),no.,24,12,36,105,54,159,4.4000000000000004,N32,Other disorders of bladder,FALSE,FALSE,4.416666666666667,4.375,4.5
Urethritis and urethral syndrome (N34),no.,0,0,0,1,0,1,—,N34,Urethritis and urethral syndrome,FALSE,FALSE,NA,NA,NA
Urethral stricture (N35),no.,0,3,3,8,3,11,3.7,N35,Urethral stricture,FALSE,FALSE,3.6666666666666665,NA,1
Other disorders of urethra (N36),no.,2,1,3,8,3,11,3.7,N36,Other disorders of urethra,FALSE,FALSE,3.6666666666666665,4,3
Other disorders of urinary system (N39),no.,429,693,1122,2015,2642,4657,4.2,N39,Other disorders of urinary system,FALSE,FALSE,4.150623885918003,4.696969696969697,3.8124098124098125
Diseases of male genital organs (N40-N51),no.,137,0,137,689,0,689,5,N40-N51,Diseases of male genital organs,FALSE,FALSE,5.029197080291971,5.029197080291971,NA
Hyperplasia of prostate (N40),no.,89,0,89,565,0,565,6.3,N40,Hyperplasia of prostate,FALSE,FALSE,6.348314606741573,6.348314606741573,NA
Inflammatory diseases of prostate (N41),no.,12,0,12,30,0,30,2.5,N41,Inflammatory diseases of prostate,FALSE,FALSE,2.5,2.5,NA
Other disorders of prostate (N42),no.,2,0,2,28,0,28,14,N42,Other disorders of prostate,FALSE,FALSE,14,14,NA
Hydrocele and spermatocele (N43),no.,1,0,1,2,0,2,2,N43,Hydrocele and spermatocele,FALSE,FALSE,2,2,NA
Torsion of testis (N44),no.,0,0,0,0,0,0,—,N44,Torsion of testis,FALSE,FALSE,NA,NA,NA
Orchitis and epididymitis (N45),no.,8,0,8,16,0,16,2,N45,Orchitis and epididymitis,FALSE,FALSE,2,2,NA
Male infertility (N46),no.,0,0,0,0,0,0,—,N46,Male infertility,FALSE,FALSE,NA,NA,NA
"Redundant prepuce, phimosis and paraphimosis (N47)",no.,0,0,0,2,0,2,—,N47,"Redundant prepuce, phimosis and paraphimosis",FALSE,FALSE,NA,NA,NA
Other disorders of penis (N48),no.,1,0,1,3,0,3,3,N48,Other disorders of penis,FALSE,FALSE,3,3,NA
"Inflammatory disorders of male genital organs, not elsewhere classified (N49)",no.,21,0,21,37,0,37,1.8,N49,"Inflammatory disorders of male genital organs, not elsewhere classified",FALSE,FALSE,1.7619047619047619,1.7619047619047619,NA
Other disorders of male genital organs (N50),no.,3,0,3,6,0,6,2,N50,Other disorders of male genital organs,FALSE,FALSE,2,2,NA
Disorders of breast (N60-N64),no.,0,4,4,3,23,26,6.5,N60-N64,Disorders of breast,FALSE,FALSE,6.5,NA,5.75
Benign mammary dysplasia (N60),no.,0,0,0,0,0,0,—,N60,Benign mammary dysplasia,FALSE,FALSE,NA,NA,NA
Inflammatory disorders of breast (N61),no.,0,1,1,0,9,9,9,N61,Inflammatory disorders of breast,FALSE,FALSE,9,NA,9
Hypertrophy of breast (N62),no.,0,0,0,1,0,1,—,N62,Hypertrophy of breast,FALSE,FALSE,NA,NA,NA
Unspecified lump in breast (N63),no.,0,2,2,0,8,8,4,N63,Unspecified lump in breast,FALSE,FALSE,4,NA,4
Other disorders of breast (N64),no.,0,1,1,2,6,8,8,N64,Other disorders of breast,FALSE,FALSE,8,NA,6
Inflammatory diseases of female pelvic organs (N70-N77),no.,0,10,10,0,30,30,3,N70-N77,Inflammatory diseases of female pelvic organs,FALSE,FALSE,3,NA,3
Salpingitis and oophoritis (N70),no.,0,3,3,0,7,7,2.2999999999999998,N70,Salpingitis and oophoritis,FALSE,FALSE,2.3333333333333335,NA,2.3333333333333335
"Inflammatory disease of uterus, except cervix (N71)",no.,0,1,1,0,2,2,2,N71,"Inflammatory disease of uterus, except cervix",FALSE,FALSE,2,NA,2
Inflammatory disease of cervix uteri (N72),no.,0,0,0,0,0,0,—,N72,Inflammatory disease of cervix uteri,FALSE,FALSE,NA,NA,NA
Other female pelvic inflammatory diseases (N73),no.,0,3,3,0,17,17,5.7,N73,Other female pelvic inflammatory diseases,FALSE,FALSE,5.666666666666667,NA,5.666666666666667
Diseases of Bartholin gland (N75),no.,0,0,0,0,0,0,—,N75,Diseases of Bartholin gland,FALSE,FALSE,NA,NA,NA
Other inflammation of vagina and vulva (N76),no.,0,3,3,0,4,4,1.3,N76,Other inflammation of vagina and vulva,FALSE,FALSE,1.3333333333333333,NA,1.3333333333333333
Noninflammatory disorders of female genital tract (N80-N98),no.,0,41,41,0,171,171,4.2,N80-N98,Noninflammatory disorders of female genital tract,FALSE,FALSE,4.170731707317073,NA,4.170731707317073
Endometriosis (N80),no.,0,1,1,0,20,20,20,N80,Endometriosis,FALSE,FALSE,20,NA,20
Female genital prolapse (N81),no.,0,6,6,0,19,19,3.2,N81,Female genital prolapse,FALSE,FALSE,3.1666666666666665,NA,3.1666666666666665
Fistulae involving female genital tract (N82),no.,0,9,9,0,25,25,2.8,N82,Fistulae involving female genital tract,FALSE,FALSE,2.7777777777777777,NA,2.7777777777777777
"Noninflammatory disorders of ovary, fallopian tube and broad ligament (N83)",no.,0,8,8,0,23,23,2.9,N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament",FALSE,FALSE,2.875,NA,2.875
Polyp of female genital tract (N84),no.,0,1,1,0,1,1,1,N84,Polyp of female genital tract,FALSE,FALSE,1,NA,1
"Other noninflammatory disorders of uterus, except cervix (N85)",no.,0,11,11,0,36,36,3.3,N85,"Other noninflammatory disorders of uterus, except cervix",FALSE,FALSE,3.272727272727273,NA,3.272727272727273
Erosion and ectropion of cervix uteri (N86),no.,0,0,0,0,0,0,—,N86,Erosion and ectropion of cervix uteri,FALSE,FALSE,NA,NA,NA
Dysplasia of cervix uteri (N87),no.,0,0,0,0,0,0,—,N87,Dysplasia of cervix uteri,FALSE,FALSE,NA,NA,NA
Other noninflammatory disorders of cervix uteri (N88),no.,0,0,0,0,3,3,—,N88,Other noninflammatory disorders of cervix uteri,FALSE,FALSE,NA,NA,NA
Other noninflammatory disorders of vagina (N89),no.,0,0,0,0,0,0,—,N89,Other noninflammatory disorders of vagina,FALSE,FALSE,NA,NA,NA
Other noninflammatory disorders of vulva and perineum (N90),no.,0,0,0,0,1,1,—,N90,Other noninflammatory disorders of vulva and perineum,FALSE,FALSE,NA,NA,NA
"Absent, scanty and rare menstruation (N91)",no.,0,0,0,0,0,0,—,N91,"Absent, scanty and rare menstruation",FALSE,FALSE,NA,NA,NA
"Excessive, frequent and irregular menstruation (N92)",no.,0,0,0,0,4,4,—,N92,"Excessive, frequent and irregular menstruation",FALSE,FALSE,NA,NA,NA
Other abnormal uterine and vaginal bleeding (N93),no.,0,3,3,0,28,28,9.3000000000000007,N93,Other abnormal uterine and vaginal bleeding,FALSE,FALSE,9.333333333333334,NA,9.333333333333334
Pain and other conditions associated with female genital organs and menstrual cycle (N94),no.,0,0,0,0,3,3,—,N94,Pain and other conditions associated with female genital organs and menstrual cycle,FALSE,FALSE,NA,NA,NA
Menopausal and other perimenopausal disorders (N95),no.,0,2,2,0,7,7,3.5,N95,Menopausal and other perimenopausal disorders,FALSE,FALSE,3.5,NA,3.5
Habitual aborter (N96),no.,0,0,0,0,0,0,—,N96,Habitual aborter,FALSE,FALSE,NA,NA,NA
Female infertility (N97),no.,0,0,0,0,0,0,—,N97,Female infertility,FALSE,FALSE,NA,NA,NA
Complications associated with artificial fertilization (N98),no.,0,0,0,0,1,1,—,N98,Complications associated with artificial fertilization,FALSE,FALSE,NA,NA,NA
Other disorders of the genitourinary system (N99-N99),no.,0,0,0,0,2,2,—,N99-N99,Other disorders of the genitourinary system,FALSE,FALSE,NA,NA,NA
"Postprocedural disorders of genitourinary system, not elsewhere classified (N99)",no.,0,0,0,0,2,2,—,N99,"Postprocedural disorders of genitourinary system, not elsewhere classified",FALSE,FALSE,NA,NA,NA
"CHAPTER XV Pregnancy, childbirth and the puerperium (O00-O99)",no.,0,5,5,0,16,16,3.2,O00-O99,"CHAPTER XV Pregnancy, childbirth and the puerperium",TRUE,FALSE,3.2,NA,3.2
Pregnancy with abortive outcome (O00-O08),no.,0,0,0,0,0,0,—,O00-O08,Pregnancy with abortive outcome,FALSE,FALSE,NA,NA,NA
Ectopic pregnancy (O00),no.,0,0,0,0,0,0,—,O00,Ectopic pregnancy,FALSE,FALSE,NA,NA,NA
Hydatidiform mole (O01),no.,0,0,0,0,0,0,—,O01,Hydatidiform mole,FALSE,FALSE,NA,NA,NA
Other abnormal products of conception (O02),no.,0,0,0,0,0,0,—,O02,Other abnormal products of conception,FALSE,FALSE,NA,NA,NA
Spontaneous abortion (O03),no.,0,0,0,0,0,0,—,O03,Spontaneous abortion,FALSE,FALSE,NA,NA,NA
Medical abortion (O04),no.,0,0,0,0,0,0,—,O04,Medical abortion,FALSE,FALSE,NA,NA,NA
Other abortion (O05),no.,0,0,0,0,0,0,—,O05,Other abortion,FALSE,FALSE,NA,NA,NA
Unspecified abortion (O06),no.,0,0,0,0,0,0,—,O06,Unspecified abortion,FALSE,FALSE,NA,NA,NA
Failed attempted abortion (O07),no.,0,0,0,0,0,0,—,O07,Failed attempted abortion,FALSE,FALSE,NA,NA,NA
Complications following abortion and ectopic and molar pregnancy (O08),no.,0,0,0,0,0,0,—,O08,Complications following abortion and ectopic and molar pregnancy,FALSE,FALSE,NA,NA,NA
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",no.,0,0,0,0,1,1,—,O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",FALSE,FALSE,NA,NA,NA
"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium (O10)",no.,0,0,0,0,0,0,—,O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",FALSE,FALSE,NA,NA,NA
Pre-existing hypertensive disorder with superimposed proteinuria (O11),no.,0,0,0,0,0,0,—,O11,Pre-existing hypertensive disorder with superimposed proteinuria,FALSE,FALSE,NA,NA,NA
Gestational [pregnancy-induced] oedema and proteinuria without hypertension (O12),no.,0,0,0,0,0,0,—,O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension,FALSE,FALSE,NA,NA,NA
Gestational [pregnancy-induced] hypertension without significant proteinuria (O13),no.,0,0,0,0,0,0,—,O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,FALSE,FALSE,NA,NA,NA
Gestational [pregnancy-induced] hypertension with significant proteinuria (O14),no.,0,0,0,0,1,1,—,O14,Gestational [pregnancy-induced] hypertension with significant proteinuria,FALSE,FALSE,NA,NA,NA
Eclampsia (O15),no.,0,0,0,0,0,0,—,O15,Eclampsia,FALSE,FALSE,NA,NA,NA
Unspecified maternal hypertension (O16),no.,0,0,0,0,0,0,—,O16,Unspecified maternal hypertension,FALSE,FALSE,NA,NA,NA
Other maternal disorders predominantly related to pregnancy (O20-O29),no.,0,0,0,0,1,1,—,O20-O29,Other maternal disorders predominantly related to pregnancy,FALSE,FALSE,NA,NA,NA
Haemorrhage in early pregnancy (O20),no.,0,0,0,0,0,0,—,O20,Haemorrhage in early pregnancy,FALSE,FALSE,NA,NA,NA
Excessive vomiting in pregnancy (O21),no.,0,0,0,0,0,0,—,O21,Excessive vomiting in pregnancy,FALSE,FALSE,NA,NA,NA
Venous complications in pregnancy (O22),no.,0,0,0,0,0,0,—,O22,Venous complications in pregnancy,FALSE,FALSE,NA,NA,NA
Infections of genitourinary tract in pregnancy (O23),no.,0,0,0,0,0,0,—,O23,Infections of genitourinary tract in pregnancy,FALSE,FALSE,NA,NA,NA
Diabetes mellitus in pregnancy (O24),no.,0,0,0,0,1,1,—,O24,Diabetes mellitus in pregnancy,FALSE,FALSE,NA,NA,NA
Malnutrition in pregnancy (O25),no.,0,0,0,0,0,0,—,O25,Malnutrition in pregnancy,FALSE,FALSE,NA,NA,NA
Maternal care for other conditions predominantly related to pregnancy (O26),no.,0,0,0,0,0,0,—,O26,Maternal care for other conditions predominantly related to pregnancy,FALSE,FALSE,NA,NA,NA
Abnormal findings on antenatal screening of mother (O28),no.,0,0,0,0,0,0,—,O28,Abnormal findings on antenatal screening of mother,FALSE,FALSE,NA,NA,NA
Complications of anaesthesia during pregnancy (O29),no.,0,0,0,0,0,0,—,O29,Complications of anaesthesia during pregnancy,FALSE,FALSE,NA,NA,NA
Maternal care related to the fetus and amniotic cavity and possible delivery problems (O30-O48),no.,0,2,2,0,4,4,2,O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,FALSE,FALSE,2,NA,2
Multiple gestation (O30),no.,0,0,0,0,0,0,—,O30,Multiple gestation,FALSE,FALSE,NA,NA,NA
Complications specific to multiple gestation (O31),no.,0,0,0,0,0,0,—,O31,Complications specific to multiple gestation,FALSE,FALSE,NA,NA,NA
Maternal care for known or suspected malpresentation of fetus (O32),no.,0,0,0,0,0,0,—,O32,Maternal care for known or suspected malpresentation of fetus,FALSE,FALSE,NA,NA,NA
Maternal care for known or suspected disproportion (O33),no.,0,0,0,0,0,0,—,O33,Maternal care for known or suspected disproportion,FALSE,FALSE,NA,NA,NA
Maternal care for known or suspected abnormality of pelvic organs (O34),no.,0,0,0,0,1,1,—,O34,Maternal care for known or suspected abnormality of pelvic organs,FALSE,FALSE,NA,NA,NA
Maternal care for known or suspected fetal abnormality and damage (O35),no.,0,0,0,0,0,0,—,O35,Maternal care for known or suspected fetal abnormality and damage,FALSE,FALSE,NA,NA,NA
Maternal care for other known or suspected fetal problems (O36),no.,0,0,0,0,0,0,—,O36,Maternal care for other known or suspected fetal problems,FALSE,FALSE,NA,NA,NA
Polyhydramnios (O40),no.,0,0,0,0,0,0,—,O40,Polyhydramnios,FALSE,FALSE,NA,NA,NA
Other disorders of amniotic fluid and membranes (O41),no.,0,1,1,0,1,1,1,O41,Other disorders of amniotic fluid and membranes,FALSE,FALSE,1,NA,1
Premature rupture of membranes (O42),no.,0,0,0,0,0,0,—,O42,Premature rupture of membranes,FALSE,FALSE,NA,NA,NA
Placental disorders (O43),no.,0,1,1,0,2,2,2,O43,Placental disorders,FALSE,FALSE,2,NA,2
Placenta praevia (O44),no.,0,0,0,0,0,0,—,O44,Placenta praevia,FALSE,FALSE,NA,NA,NA
Premature separation of placenta [abruptio placentae] (O45),no.,0,0,0,0,0,0,—,O45,Premature separation of placenta [abruptio placentae],FALSE,FALSE,NA,NA,NA
"Antepartum haemorrhage, not elsewhere classified (O46)",no.,0,0,0,0,0,0,—,O46,"Antepartum haemorrhage, not elsewhere classified",FALSE,FALSE,NA,NA,NA
False labour (O47),no.,0,0,0,0,0,0,—,O47,False labour,FALSE,FALSE,NA,NA,NA
Prolonged pregnancy (O48),no.,0,0,0,0,0,0,—,O48,Prolonged pregnancy,FALSE,FALSE,NA,NA,NA
Complications of labour and delivery (O60-O75),no.,0,0,0,0,3,3,—,O60-O75,Complications of labour and delivery,FALSE,FALSE,NA,NA,NA
Preterm labour and delivery (O60),no.,0,0,0,0,1,1,—,O60,Preterm labour and delivery,FALSE,FALSE,NA,NA,NA
Failed induction of labour (O61),no.,0,0,0,0,0,0,—,O61,Failed induction of labour,FALSE,FALSE,NA,NA,NA
Abnormalities of forces of labour (O62),no.,0,0,0,0,0,0,—,O62,Abnormalities of forces of labour,FALSE,FALSE,NA,NA,NA
Long labour (O63),no.,0,0,0,0,0,0,—,O63,Long labour,FALSE,FALSE,NA,NA,NA
Obstructed labour due to malposition and malpresentation of fetus (O64),no.,0,0,0,0,0,0,—,O64,Obstructed labour due to malposition and malpresentation of fetus,FALSE,FALSE,NA,NA,NA
Obstructed labour due to maternal pelvic abnormality (O65),no.,0,0,0,0,0,0,—,O65,Obstructed labour due to maternal pelvic abnormality,FALSE,FALSE,NA,NA,NA
Other obstructed labour (O66),no.,0,0,0,0,0,0,—,O66,Other obstructed labour,FALSE,FALSE,NA,NA,NA
"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified (O67)",no.,0,0,0,0,0,0,—,O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Labour and delivery complicated by fetal stress [distress] (O68),no.,0,0,0,0,0,0,—,O68,Labour and delivery complicated by fetal stress [distress],FALSE,FALSE,NA,NA,NA
Labour and delivery complicated by umbilical cord complications (O69),no.,0,0,0,0,0,0,—,O69,Labour and delivery complicated by umbilical cord complications,FALSE,FALSE,NA,NA,NA
Perineal laceration during delivery (O70),no.,0,0,0,0,0,0,—,O70,Perineal laceration during delivery,FALSE,FALSE,NA,NA,NA
Other obstetric trauma (O71),no.,0,0,0,0,0,0,—,O71,Other obstetric trauma,FALSE,FALSE,NA,NA,NA
Postpartum haemorrhage (O72),no.,0,0,0,0,1,1,—,O72,Postpartum haemorrhage,FALSE,FALSE,NA,NA,NA
"Retained placenta and membranes, without haemorrhage (O73)",no.,0,0,0,0,1,1,—,O73,"Retained placenta and membranes, without haemorrhage",FALSE,FALSE,NA,NA,NA
Complications of anaesthesia during labour and delivery (O74),no.,0,0,0,0,0,0,—,O74,Complications of anaesthesia during labour and delivery,FALSE,FALSE,NA,NA,NA
"Other complications of labour and delivery, not elsewhere classified (O75)",no.,0,0,0,0,0,0,—,O75,"Other complications of labour and delivery, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Delivery (O80-O84),no.,0,0,0,0,0,0,—,O80-O84,Delivery,FALSE,FALSE,NA,NA,NA
Single spontaneous delivery (O80),no.,0,0,0,0,0,0,—,O80,Single spontaneous delivery,FALSE,FALSE,NA,NA,NA
Single delivery by forceps and vacuum extractor (O81),no.,0,0,0,0,0,0,—,O81,Single delivery by forceps and vacuum extractor,FALSE,FALSE,NA,NA,NA
Single delivery by caesarean section (O82),no.,0,0,0,0,0,0,—,O82,Single delivery by caesarean section,FALSE,FALSE,NA,NA,NA
Other assisted single delivery (O83),no.,0,0,0,0,0,0,—,O83,Other assisted single delivery,FALSE,FALSE,NA,NA,NA
Multiple delivery (O84),no.,0,0,0,0,0,0,—,O84,Multiple delivery,FALSE,FALSE,NA,NA,NA
Complications predominantly related to the puerperium (O85-O92),no.,0,1,1,0,1,1,1,O85-O92,Complications predominantly related to the puerperium,FALSE,FALSE,1,NA,1
Puerperal sepsis (O85),no.,0,0,0,0,0,0,—,O85,Puerperal sepsis,FALSE,FALSE,NA,NA,NA
Other puerperal infections (O86),no.,0,0,0,0,0,0,—,O86,Other puerperal infections,FALSE,FALSE,NA,NA,NA
Venous complications in the puerperium (O87),no.,0,0,0,0,0,0,—,O87,Venous complications in the puerperium,FALSE,FALSE,NA,NA,NA
Obstetric embolism (O88),no.,0,0,0,0,0,0,—,O88,Obstetric embolism,FALSE,FALSE,NA,NA,NA
Complications of anaesthesia during the puerperium (O89),no.,0,0,0,0,0,0,—,O89,Complications of anaesthesia during the puerperium,FALSE,FALSE,NA,NA,NA
"Complications of the puerperium, not elsewhere classified (O90)",no.,0,1,1,0,1,1,1,O90,"Complications of the puerperium, not elsewhere classified",FALSE,FALSE,1,NA,1
Infections of breast associated with childbirth (O91),no.,0,0,0,0,0,0,—,O91,Infections of breast associated with childbirth,FALSE,FALSE,NA,NA,NA
Other disorders of breast and lactation associated with childbirth (O92),no.,0,0,0,0,0,0,—,O92,Other disorders of breast and lactation associated with childbirth,FALSE,FALSE,NA,NA,NA
Other obstetric conditions (O95-O99),no.,0,2,2,0,6,6,3,O95-O99,Other obstetric conditions,FALSE,FALSE,3,NA,3
Obstetric death of unspecified cause (O95),no.,0,0,0,0,1,1,—,O95,Obstetric death of unspecified cause,FALSE,FALSE,NA,NA,NA
Death from any obstetric cause occurring more than 42 days but less than one year after delivery (O96),no.,0,0,0,0,0,0,—,O96,Death from any obstetric cause occurring more than 42 days but less than one year after delivery,FALSE,FALSE,NA,NA,NA
Death from sequelae of direct obstetric causes (O97),no.,0,0,0,0,0,0,—,O97,Death from sequelae of direct obstetric causes,FALSE,FALSE,NA,NA,NA
"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium (O98)",no.,0,1,1,0,1,1,1,O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",FALSE,FALSE,1,NA,1
"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium (O99)",no.,0,1,1,0,4,4,4,O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",FALSE,FALSE,4,NA,4
CHAPTER XVI Certain conditions originating in the perinatal period (P00-P96),no.,313,253,566,939,789,1728,3.1,P00-P96,CHAPTER XVI Certain conditions originating in the perinatal period,TRUE,FALSE,3.0530035335689045,3,3.1185770750988144
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",no.,168,134,302,238,210,448,1.5,P00-P04,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",FALSE,FALSE,1.4834437086092715,1.4166666666666667,1.5671641791044777
Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy (P00),no.,18,25,43,22,32,54,1.3,P00,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,FALSE,FALSE,1.255813953488372,1.2222222222222223,1.28
Fetus and newborn affected by maternal complications of pregnancy (P01),no.,69,48,117,93,67,160,1.4,P01,Fetus and newborn affected by maternal complications of pregnancy,FALSE,FALSE,1.3675213675213675,1.3478260869565217,1.3958333333333333
"Fetus and newborn affected by complications of placenta, cord and membranes (P02)",no.,47,48,95,60,71,131,1.4,P02,"Fetus and newborn affected by complications of placenta, cord and membranes",FALSE,FALSE,1.3789473684210527,1.2765957446808511,1.4791666666666667
Fetus and newborn affected by other complications of labour and delivery (P03),no.,34,12,46,63,38,101,2.2000000000000002,P03,Fetus and newborn affected by other complications of labour and delivery,FALSE,FALSE,2.1956521739130435,1.8529411764705883,3.1666666666666665
Fetus and newborn affected by noxious influences transmitted via placenta or breast milk (P04),no.,0,1,1,0,2,2,2,P04,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk,FALSE,FALSE,2,NA,2
Disorders related to length of gestation and fetal growth (P05-P08),no.,22,28,50,288,206,494,9.9,P05-P08,Disorders related to length of gestation and fetal growth,FALSE,FALSE,9.88,13.090909090909092,7.357142857142857
Slow fetal growth and fetal malnutrition (P05),no.,1,3,4,12,15,27,6.8,P05,Slow fetal growth and fetal malnutrition,FALSE,FALSE,6.75,12,5
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",no.,21,25,46,273,190,463,10.1,P07,"Disorders related to short gestation and low birth weight, not elsewhere classified",FALSE,FALSE,10.065217391304348,13,7.6
Disorders related to long gestation and high birth weight (P08),no.,0,0,0,3,1,4,—,P08,Disorders related to long gestation and high birth weight,FALSE,FALSE,NA,NA,NA
Birth trauma (P10-P15),no.,0,1,1,1,4,5,5,P10-P15,Birth trauma,FALSE,FALSE,5,NA,4
Intracranial laceration and haemorrhage due to birth injury (P10),no.,0,0,0,0,0,0,—,P10,Intracranial laceration and haemorrhage due to birth injury,FALSE,FALSE,NA,NA,NA
