cause_icd10,unit,mc_count_male,mc_count_female,mc_count_persons,mc_asr_male,mc_asr_female,mc_asr_persons,icd10_code,cause_name,is_chapter,is_total
Disorders related to long gestation and high birth weight (P08),no.,3,1,4,NA,NA,NA,P08,Disorders related to long gestation and high birth weight,FALSE,FALSE
Birth trauma (P10-P15),no.,1,3,4,NA,NA,NA,P10-P15,Birth trauma,FALSE,FALSE
Intracranial laceration and haemorrhage due to birth injury (P10),no.,0,0,0,NA,NA,NA,P10,Intracranial laceration and haemorrhage due to birth injury,FALSE,FALSE
Other birth injuries to central nervous system (P11),no.,1,2,3,NA,NA,NA,P11,Other birth injuries to central nervous system,FALSE,FALSE
Birth injury to scalp (P12),no.,0,0,0,NA,NA,NA,P12,Birth injury to scalp,FALSE,FALSE
Birth injury to skeleton (P13),no.,0,0,0,NA,NA,NA,P13,Birth injury to skeleton,FALSE,FALSE
Birth injury to peripheral nervous system (P14),no.,0,0,0,NA,NA,NA,P14,Birth injury to peripheral nervous system,FALSE,FALSE
Other birth injuries (P15),no.,0,1,1,NA,NA,NA,P15,Other birth injuries,FALSE,FALSE
Respiratory and cardiovascular disorders specific to the perinatal period (P20-P29),no.,99,97,196,0.9,0.9,0.9,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,FALSE,FALSE
Intrauterine hypoxia (P20),no.,4,3,7,NA,NA,NA,P20,Intrauterine hypoxia,FALSE,FALSE
Birth asphyxia (P21),no.,12,14,26,NA,NA,0.1,P21,Birth asphyxia,FALSE,FALSE
Respiratory distress of newborn (P22),no.,15,17,32,NA,NA,0.1,P22,Respiratory distress of newborn,FALSE,FALSE
Congenital pneumonia (P23),no.,2,2,4,NA,NA,NA,P23,Congenital pneumonia,FALSE,FALSE
Neonatal aspiration syndromes (P24),no.,4,6,10,NA,NA,NA,P24,Neonatal aspiration syndromes,FALSE,FALSE
Interstitial emphysema and related conditions originating in the perinatal period (P25),no.,10,5,15,NA,NA,NA,P25,Interstitial emphysema and related conditions originating in the perinatal period,FALSE,FALSE
Pulmonary haemorrhage originating in the perinatal period (P26),no.,5,5,10,NA,NA,NA,P26,Pulmonary haemorrhage originating in the perinatal period,FALSE,FALSE
Chronic respiratory disease originating in the perinatal period (P27),no.,11,7,18,NA,NA,NA,P27,Chronic respiratory disease originating in the perinatal period,FALSE,FALSE
Other respiratory conditions originating in the perinatal period (P28),no.,27,23,50,0.2,0.2,0.2,P28,Other respiratory conditions originating in the perinatal period,FALSE,FALSE
Cardiovascular disorders originating in the perinatal period (P29),no.,32,48,80,0.3,0.4,0.4,P29,Cardiovascular disorders originating in the perinatal period,FALSE,FALSE
Infections specific to the perinatal period (P35-P39),no.,46,31,77,0.4,0.3,0.3,P35-P39,Infections specific to the perinatal period,FALSE,FALSE
Congenital viral diseases (P35),no.,12,5,17,NA,NA,NA,P35,Congenital viral diseases,FALSE,FALSE
Bacterial sepsis of newborn (P36),no.,32,25,57,0.3,0.2,0.3,P36,Bacterial sepsis of newborn,FALSE,FALSE
Other congenital infectious and parasitic diseases (P37),no.,0,1,1,NA,NA,NA,P37,Other congenital infectious and parasitic diseases,FALSE,FALSE
Omphalitis of newborn with or without mild haemorrhage (P38),no.,0,0,0,NA,NA,NA,P38,Omphalitis of newborn with or without mild haemorrhage,FALSE,FALSE
Other infections specific to the perinatal period (P39),no.,2,0,2,NA,NA,NA,P39,Other infections specific to the perinatal period,FALSE,FALSE
Haemorrhagic and haematological disorders of fetus and newborn (P50-P61),no.,44,37,81,0.4,0.3,0.4,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,FALSE,FALSE
Fetal blood loss (P50),no.,1,2,3,NA,NA,NA,P50,Fetal blood loss,FALSE,FALSE
Umbilical haemorrhage of newborn (P51),no.,0,0,0,NA,NA,NA,P51,Umbilical haemorrhage of newborn,FALSE,FALSE
Intracranial nontraumatic haemorrhage of fetus and newborn (P52),no.,38,31,69,0.3,0.3,0.3,P52,Intracranial nontraumatic haemorrhage of fetus and newborn,FALSE,FALSE
Haemorrhagic disease of fetus and newborn (P53),no.,0,0,0,NA,NA,NA,P53,Haemorrhagic disease of fetus and newborn,FALSE,FALSE
Other neonatal haemorrhages (P54),no.,1,1,2,NA,NA,NA,P54,Other neonatal haemorrhages,FALSE,FALSE
Haemolytic disease of fetus and newborn (P55),no.,2,1,3,NA,NA,NA,P55,Haemolytic disease of fetus and newborn,FALSE,FALSE
Hydrops fetalis due to haemolytic disease (P56),no.,0,0,0,NA,NA,NA,P56,Hydrops fetalis due to haemolytic disease,FALSE,FALSE
Kernicterus (P57),no.,0,0,0,NA,NA,NA,P57,Kernicterus,FALSE,FALSE
Neonatal jaundice due to other excessive haemolysis (P58),no.,0,0,0,NA,NA,NA,P58,Neonatal jaundice due to other excessive haemolysis,FALSE,FALSE
Neonatal jaundice from other and unspecified causes (P59),no.,2,1,3,NA,NA,NA,P59,Neonatal jaundice from other and unspecified causes,FALSE,FALSE
Disseminated intravascular coagulation of fetus and newborn (P60),no.,1,5,6,NA,NA,NA,P60,Disseminated intravascular coagulation of fetus and newborn,FALSE,FALSE
Other perinatal haematological disorders (P61),no.,6,4,10,NA,NA,NA,P61,Other perinatal haematological disorders,FALSE,FALSE
Transitory endocrine and metabolic disorders specific to fetus and newborn (P70-P74),no.,8,11,19,NA,NA,NA,P70-P74,Transitory endocrine and metabolic disorders specific to fetus and newborn,FALSE,FALSE
Transitory disorders of carbohydrate metabolism specific to fetus and newborn (P70),no.,7,9,16,NA,NA,NA,P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,FALSE,FALSE
Transitory neonatal disorders of calcium and magnesium metabolism (P71),no.,0,0,0,NA,NA,NA,P71,Transitory neonatal disorders of calcium and magnesium metabolism,FALSE,FALSE
Other transitory neonatal endocrine disorders (P72),no.,0,0,0,NA,NA,NA,P72,Other transitory neonatal endocrine disorders,FALSE,FALSE
Other transitory neonatal electrolyte and metabolic disturbances (P74),no.,1,2,3,NA,NA,NA,P74,Other transitory neonatal electrolyte and metabolic disturbances,FALSE,FALSE
Digestive system disorders of fetus and newborn (P75-P78),no.,30,10,40,0.3,NA,0.2,P75-P78,Digestive system disorders of fetus and newborn,FALSE,FALSE
Other intestinal obstruction of newborn (P76),no.,3,0,3,NA,NA,NA,P76,Other intestinal obstruction of newborn,FALSE,FALSE
Necrotizing enterocolitis of fetus and newborn (P77),no.,15,7,22,NA,NA,0.1,P77,Necrotizing enterocolitis of fetus and newborn,FALSE,FALSE
Other perinatal digestive system disorders (P78),no.,12,3,15,NA,NA,NA,P78,Other perinatal digestive system disorders,FALSE,FALSE
Conditions involving the integument and temperature regulation of fetus and newborn (P80-P83),no.,5,10,15,NA,NA,NA,P80-P83,Conditions involving the integument and temperature regulation of fetus and newborn,FALSE,FALSE
Hypothermia of newborn (P80),no.,0,0,0,NA,NA,NA,P80,Hypothermia of newborn,FALSE,FALSE
Other disturbances of temperature regulation of newborn (P81),no.,0,0,0,NA,NA,NA,P81,Other disturbances of temperature regulation of newborn,FALSE,FALSE
Other conditions of integument specific to fetus and newborn (P83),no.,5,10,15,NA,NA,NA,P83,Other conditions of integument specific to fetus and newborn,FALSE,FALSE
Other disorders originating in the perinatal period (P90-P96),no.,136,118,254,1.2,1.1,1.1,P90-P96,Other disorders originating in the perinatal period,FALSE,FALSE
Convulsions of newborn (P90),no.,1,2,3,NA,NA,NA,P90,Convulsions of newborn,FALSE,FALSE
Other disturbances of cerebral status of newborn (P91),no.,27,40,67,0.2,0.4,0.3,P91,Other disturbances of cerebral status of newborn,FALSE,FALSE
Feeding problems of newborn (P92),no.,0,1,1,NA,NA,NA,P92,Feeding problems of newborn,FALSE,FALSE
Reactions and intoxications due to drugs administered to fetus and newborn (P93),no.,0,0,0,NA,NA,NA,P93,Reactions and intoxications due to drugs administered to fetus and newborn,FALSE,FALSE
Disorders of muscle tone of newborn (P94),no.,0,2,2,NA,NA,NA,P94,Disorders of muscle tone of newborn,FALSE,FALSE
Fetal death of unspecified cause (P95),no.,0,0,0,NA,NA,NA,P95,Fetal death of unspecified cause,FALSE,FALSE
Other conditions originating in the perinatal period (P96),no.,111,79,190,1,0.7,0.9,P96,Other conditions originating in the perinatal period,FALSE,FALSE
"CHAPTER XVII Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",no.,612,535,1147,4.4,3.7,4,Q00-Q99,"CHAPTER XVII Congenital malformations, deformations and chromosomal abnormalities",TRUE,FALSE
Congenital malformations of the nervous system (Q00-Q07),no.,56,46,102,0.4,0.4,0.4,Q00-Q07,Congenital malformations of the nervous system,FALSE,FALSE
Anencephaly and similar malformations (Q00),no.,7,3,10,NA,NA,NA,Q00,Anencephaly and similar malformations,FALSE,FALSE
Encephalocele (Q01),no.,0,1,1,NA,NA,NA,Q01,Encephalocele,FALSE,FALSE
Microcephaly (Q02),no.,1,3,4,NA,NA,NA,Q02,Microcephaly,FALSE,FALSE
Congenital hydrocephalus (Q03),no.,8,5,13,NA,NA,NA,Q03,Congenital hydrocephalus,FALSE,FALSE
Other congenital malformations of brain (Q04),no.,19,16,35,NA,NA,0.1,Q04,Other congenital malformations of brain,FALSE,FALSE
Spina bifida (Q05),no.,18,17,35,NA,NA,0.1,Q05,Spina bifida,FALSE,FALSE
Other congenital malformations of spinal cord (Q06),no.,1,0,1,NA,NA,NA,Q06,Other congenital malformations of spinal cord,FALSE,FALSE
Other congenital malformations of nervous system (Q07),no.,3,6,9,NA,NA,NA,Q07,Other congenital malformations of nervous system,FALSE,FALSE
"Congenital malformations of eye, ear, face and neck (Q10-Q18)",no.,2,1,3,NA,NA,NA,Q10-Q18,"Congenital malformations of eye, ear, face and neck",FALSE,FALSE
"Congenital malformations of eyelid, lacrimal apparatus and orbit (Q10)",no.,0,1,1,NA,NA,NA,Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit",FALSE,FALSE
"Anophthalmos, microphthalmos and macrophthalmos (Q11)",no.,0,0,0,NA,NA,NA,Q11,"Anophthalmos, microphthalmos and macrophthalmos",FALSE,FALSE
Congenital lens malformations (Q12),no.,0,0,0,NA,NA,NA,Q12,Congenital lens malformations,FALSE,FALSE
Congenital malformations of anterior segment of eye (Q13),no.,2,0,2,NA,NA,NA,Q13,Congenital malformations of anterior segment of eye,FALSE,FALSE
Congenital malformations of posterior segment of eye (Q14),no.,0,0,0,NA,NA,NA,Q14,Congenital malformations of posterior segment of eye,FALSE,FALSE
Other congenital malformations of eye (Q15),no.,0,0,0,NA,NA,NA,Q15,Other congenital malformations of eye,FALSE,FALSE
Congenital malformations of ear causing impairment of hearing (Q16),no.,0,0,0,NA,NA,NA,Q16,Congenital malformations of ear causing impairment of hearing,FALSE,FALSE
Other congenital malformations of ear (Q17),no.,0,0,0,NA,NA,NA,Q17,Other congenital malformations of ear,FALSE,FALSE
Other congenital malformations of face and neck (Q18),no.,0,0,0,NA,NA,NA,Q18,Other congenital malformations of face and neck,FALSE,FALSE
Congenital malformations of the circulatory system (Q20-Q28),no.,182,151,333,1.3,1,1.2,Q20-Q28,Congenital malformations of the circulatory system,FALSE,FALSE
Congenital malformations of cardiac chambers and connections (Q20),no.,9,11,20,NA,NA,0.1,Q20,Congenital malformations of cardiac chambers and connections,FALSE,FALSE
Congenital malformations of cardiac septa (Q21),no.,46,54,100,0.3,0.4,0.4,Q21,Congenital malformations of cardiac septa,FALSE,FALSE
Congenital malformations of pulmonary and tricuspid valves (Q22),no.,6,8,14,NA,NA,NA,Q22,Congenital malformations of pulmonary and tricuspid valves,FALSE,FALSE
Congenital malformations of aortic and mitral valves (Q23),no.,44,17,61,0.3,NA,0.2,Q23,Congenital malformations of aortic and mitral valves,FALSE,FALSE
Other congenital malformations of heart (Q24),no.,48,42,90,0.4,0.3,0.3,Q24,Other congenital malformations of heart,FALSE,FALSE
Congenital malformations of great arteries (Q25),no.,20,27,47,0.2,0.2,0.2,Q25,Congenital malformations of great arteries,FALSE,FALSE
Congenital malformations of great veins (Q26),no.,4,3,7,NA,NA,NA,Q26,Congenital malformations of great veins,FALSE,FALSE
Other congenital malformations of peripheral vascular system (Q27),no.,14,11,25,NA,NA,0.1,Q27,Other congenital malformations of peripheral vascular system,FALSE,FALSE
Other congenital malformations of circulatory system (Q28),no.,17,6,23,NA,NA,0.1,Q28,Other congenital malformations of circulatory system,FALSE,FALSE
Congenital malformations of the respiratory system (Q30-Q34),no.,19,19,38,NA,NA,0.2,Q30-Q34,Congenital malformations of the respiratory system,FALSE,FALSE
Congenital malformations of nose (Q30),no.,0,0,0,NA,NA,NA,Q30,Congenital malformations of nose,FALSE,FALSE
Congenital malformations of larynx (Q31),no.,0,1,1,NA,NA,NA,Q31,Congenital malformations of larynx,FALSE,FALSE
Congenital malformations of trachea and bronchus (Q32),no.,7,1,8,NA,NA,NA,Q32,Congenital malformations of trachea and bronchus,FALSE,FALSE
Congenital malformations of lung (Q33),no.,13,16,29,NA,NA,0.1,Q33,Congenital malformations of lung,FALSE,FALSE
Other congenital malformations of respiratory system (Q34),no.,0,1,1,NA,NA,NA,Q34,Other congenital malformations of respiratory system,FALSE,FALSE
Cleft lip and cleft palate (Q35-Q37),no.,4,0,4,NA,NA,NA,Q35-Q37,Cleft lip and cleft palate,FALSE,FALSE
Cleft palate (Q35),no.,1,0,1,NA,NA,NA,Q35,Cleft palate,FALSE,FALSE
Cleft lip (Q36),no.,1,0,1,NA,NA,NA,Q36,Cleft lip,FALSE,FALSE
Cleft palate with cleft lip (Q37),no.,2,0,2,NA,NA,NA,Q37,Cleft palate with cleft lip,FALSE,FALSE
Other congenital malformations of the digestive system (Q38-Q45),no.,18,24,42,NA,0.2,0.2,Q38-Q45,Other congenital malformations of the digestive system,FALSE,FALSE
"Other congenital malformations of tongue, mouth and pharynx (Q38)",no.,0,1,1,NA,NA,NA,Q38,"Other congenital malformations of tongue, mouth and pharynx",FALSE,FALSE
Congenital malformations of oesophagus (Q39),no.,4,6,10,NA,NA,NA,Q39,Congenital malformations of oesophagus,FALSE,FALSE
Other congenital malformations of upper alimentary tract (Q40),no.,0,1,1,NA,NA,NA,Q40,Other congenital malformations of upper alimentary tract,FALSE,FALSE
"Congenital absence, atresia and stenosis of small intestine (Q41)",no.,1,1,2,NA,NA,NA,Q41,"Congenital absence, atresia and stenosis of small intestine",FALSE,FALSE
"Congenital absence, atresia and stenosis of large intestine (Q42)",no.,1,1,2,NA,NA,NA,Q42,"Congenital absence, atresia and stenosis of large intestine",FALSE,FALSE
Other congenital malformations of intestine (Q43),no.,11,7,18,NA,NA,NA,Q43,Other congenital malformations of intestine,FALSE,FALSE
"Congenital malformations of gallbladder, bile ducts and liver (Q44)",no.,2,7,9,NA,NA,NA,Q44,"Congenital malformations of gallbladder, bile ducts and liver",FALSE,FALSE
Other congenital malformations of digestive system (Q45),no.,1,0,1,NA,NA,NA,Q45,Other congenital malformations of digestive system,FALSE,FALSE
Congenital malformations of genital organs (Q50-Q56),no.,1,0,1,NA,NA,NA,Q50-Q56,Congenital malformations of genital organs,FALSE,FALSE
"Congenital malformations of ovaries, fallopian tubes and broad ligaments (Q50)",no.,0,0,0,NA,NA,NA,Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments",FALSE,FALSE
Congenital malformations of uterus and cervix (Q51),no.,0,0,0,NA,NA,NA,Q51,Congenital malformations of uterus and cervix,FALSE,FALSE
Other congenital malformations of female genitalia (Q52),no.,0,0,0,NA,NA,NA,Q52,Other congenital malformations of female genitalia,FALSE,FALSE
Undescended testicle (Q53),no.,0,0,0,NA,NA,NA,Q53,Undescended testicle,FALSE,FALSE
Hypospadias (Q54),no.,1,0,1,NA,NA,NA,Q54,Hypospadias,FALSE,FALSE
Other congenital malformations of male genital organs (Q55),no.,0,0,0,NA,NA,NA,Q55,Other congenital malformations of male genital organs,FALSE,FALSE
Indeterminate sex and pseudohermaphroditism (Q56),no.,0,0,0,NA,NA,NA,Q56,Indeterminate sex and pseudohermaphroditism,FALSE,FALSE
Congenital malformations of the urinary system (Q60-Q64),no.,84,69,153,0.6,0.4,0.5,Q60-Q64,Congenital malformations of the urinary system,FALSE,FALSE
Renal agenesis and other reduction defects of kidney (Q60),no.,12,14,26,NA,NA,0.1,Q60,Renal agenesis and other reduction defects of kidney,FALSE,FALSE
Cystic kidney disease (Q61),no.,62,51,113,0.4,0.3,0.3,Q61,Cystic kidney disease,FALSE,FALSE
Congenital obstructive defects of renal pelvis and congenital malformations of ureter (Q62),no.,1,0,1,NA,NA,NA,Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,FALSE,FALSE
Other congenital malformations of kidney (Q63),no.,6,4,10,NA,NA,NA,Q63,Other congenital malformations of kidney,FALSE,FALSE
Other congenital malformations of urinary system (Q64),no.,6,1,7,NA,NA,NA,Q64,Other congenital malformations of urinary system,FALSE,FALSE
Congenital malformations and deformations of the musculoskeletal system (Q65-Q79),no.,31,42,73,0.2,0.3,0.3,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,FALSE,FALSE
Congenital deformities of hip (Q65),no.,0,2,2,NA,NA,NA,Q65,Congenital deformities of hip,FALSE,FALSE
Congenital deformities of feet (Q66),no.,0,1,1,NA,NA,NA,Q66,Congenital deformities of feet,FALSE,FALSE
"Congenital musculoskeletal deformities of head, face, spine and chest (Q67)",no.,4,3,7,NA,NA,NA,Q67,"Congenital musculoskeletal deformities of head, face, spine and chest",FALSE,FALSE
Other congenital musculoskeletal deformities (Q68),no.,0,2,2,NA,NA,NA,Q68,Other congenital musculoskeletal deformities,FALSE,FALSE
Polydactyly (Q69),no.,0,0,0,NA,NA,NA,Q69,Polydactyly,FALSE,FALSE
Syndactyly (Q70),no.,0,0,0,NA,NA,NA,Q70,Syndactyly,FALSE,FALSE
Reduction defects of upper limb (Q71),no.,1,0,1,NA,NA,NA,Q71,Reduction defects of upper limb,FALSE,FALSE
Reduction defects of lower limb (Q72),no.,0,0,0,NA,NA,NA,Q72,Reduction defects of lower limb,FALSE,FALSE
Reduction defects of unspecified limb (Q73),no.,1,0,1,NA,NA,NA,Q73,Reduction defects of unspecified limb,FALSE,FALSE
Other congenital malformations of limb(s) (Q74),no.,2,2,4,NA,NA,NA,Q74,Other congenital malformations of limb,FALSE,FALSE
Other congenital malformations of skull and face bones (Q75),no.,0,0,0,NA,NA,NA,Q75,Other congenital malformations of skull and face bones,FALSE,FALSE
Congenital malformations of spine and bony thorax (Q76),no.,2,1,3,NA,NA,NA,Q76,Congenital malformations of spine and bony thorax,FALSE,FALSE
Osteochondrodysplasia with defects of growth of tubular bones and spine (Q77),no.,3,3,6,NA,NA,NA,Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine,FALSE,FALSE
Other osteochondrodysplasias (Q78),no.,11,6,17,NA,NA,NA,Q78,Other osteochondrodysplasias,FALSE,FALSE
"Congenital malformations of the musculoskeletal system, not elsewhere classified (Q79)",no.,8,22,30,NA,0.2,0.1,Q79,"Congenital malformations of the musculoskeletal system, not elsewhere classified",FALSE,FALSE
Other congenital malformations (Q80-Q89),no.,117,88,205,0.9,0.6,0.7,Q80-Q89,Other congenital malformations,FALSE,FALSE
Congenital ichthyosis (Q80),no.,0,1,1,NA,NA,NA,Q80,Congenital ichthyosis,FALSE,FALSE
Epidermolysis bullosa (Q81),no.,2,0,2,NA,NA,NA,Q81,Epidermolysis bullosa,FALSE,FALSE
Other congenital malformations of skin (Q82),no.,5,1,6,NA,NA,NA,Q82,Other congenital malformations of skin,FALSE,FALSE
Congenital malformations of breast (Q83),no.,0,0,0,NA,NA,NA,Q83,Congenital malformations of breast,FALSE,FALSE
Other congenital malformations of integument (Q84),no.,0,0,0,NA,NA,NA,Q84,Other congenital malformations of integument,FALSE,FALSE
"Phakomatoses, not elsewhere classified (Q85)",no.,30,24,54,0.2,0.1,0.2,Q85,"Phakomatoses, not elsewhere classified",FALSE,FALSE
"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified (Q86)",no.,4,1,5,NA,NA,NA,Q86,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified",FALSE,FALSE
Other specified congenital malformation syndromes affecting multiple systems (Q87),no.,53,36,89,0.4,0.3,0.3,Q87,Other specified congenital malformation syndromes affecting multiple systems,FALSE,FALSE
"Other congenital malformations, not elsewhere classified (Q89)",no.,24,25,49,0.2,0.2,0.2,Q89,"Other congenital malformations, not elsewhere classified",FALSE,FALSE
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",no.,148,146,294,1.1,1,1,Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",FALSE,FALSE
Down syndrome (Q90),no.,88,90,178,0.6,0.6,0.6,Q90,Down syndrome,FALSE,FALSE
Edwards syndrome and Patau syndrome (Q91),no.,9,12,21,NA,NA,0.1,Q91,Edwards syndrome and Patau syndrome,FALSE,FALSE
"Other trisomies and partial trisomies of the autosomes, not elsewhere classified (Q92)",no.,8,6,14,NA,NA,NA,Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified",FALSE,FALSE
"Monosomies and deletions from the autosomes, not elsewhere classified (Q93)",no.,16,16,32,NA,NA,0.1,Q93,"Monosomies and deletions from the autosomes, not elsewhere classified",FALSE,FALSE
"Balanced rearrangements and structural markers, not elsewhere classified (Q95)",no.,0,0,0,NA,NA,NA,Q95,"Balanced rearrangements and structural markers, not elsewhere classified",FALSE,FALSE
Turner syndrome (Q96),no.,1,13,14,NA,NA,NA,Q96,Turner syndrome,FALSE,FALSE
"Other sex chromosome abnormalities, female phenotype, not elsewhere classified (Q97)",no.,0,1,1,NA,NA,NA,Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified",FALSE,FALSE
"Other sex chromosome abnormalities, male phenotype, not elsewhere classified (Q98)",no.,8,0,8,NA,NA,NA,Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified",FALSE,FALSE
"Other chromosome abnormalities, not elsewhere classified (Q99)",no.,19,9,28,NA,NA,0.1,Q99,"Other chromosome abnormalities, not elsewhere classified",FALSE,FALSE
"CHAPTER XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",no.,19239,20153,39392,118,92.6,105.2,R00-R99,"CHAPTER XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",TRUE,FALSE
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),no.,1958,1821,3779,11.7,8.6,10,R00-R09,Symptoms and signs involving the circulatory and respiratory systems,FALSE,FALSE
Abnormalities of heart beat (R00),no.,132,125,257,0.8,0.6,0.7,R00,Abnormalities of heart beat,FALSE,FALSE
Cardiac murmurs and other cardiac sounds (R01),no.,2,4,6,NA,NA,NA,R01,Cardiac murmurs and other cardiac sounds,FALSE,FALSE
"Gangrene, not elsewhere classified (R02)",no.,268,192,460,1.6,0.9,1.2,R02,"Gangrene, not elsewhere classified",FALSE,FALSE
"Abnormal blood-pressure reading, without diagnosis (R03)",no.,1,1,2,NA,NA,NA,R03,"Abnormal blood-pressure reading, without diagnosis",FALSE,FALSE
Haemorrhage from respiratory passages (R04),no.,137,96,233,0.8,0.5,0.7,R04,Haemorrhage from respiratory passages,FALSE,FALSE
Cough (R05),no.,6,3,9,NA,NA,NA,R05,Cough,FALSE,FALSE
Abnormalities of breathing (R06),no.,176,166,342,1.1,0.8,0.9,R06,Abnormalities of breathing,FALSE,FALSE
Pain in throat and chest (R07),no.,7,9,16,NA,NA,NA,R07,Pain in throat and chest,FALSE,FALSE
Other symptoms and signs involving the circulatory and respiratory systems (R09),no.,1262,1254,2516,7.5,5.9,6.6,R09,Other symptoms and signs involving the circulatory and respiratory systems,FALSE,FALSE
Symptoms and signs involving the digestive system and abdomen (R10-R19),no.,1273,1091,2364,7.6,5,6.2,R10-R19,Symptoms and signs involving the digestive system and abdomen,FALSE,FALSE
Abdominal and pelvic pain (R10),no.,29,44,73,0.2,0.2,0.2,R10,Abdominal and pelvic pain,FALSE,FALSE
Nausea and vomiting (R11),no.,120,142,262,0.7,0.6,0.7,R11,Nausea and vomiting,FALSE,FALSE
Heartburn (R12),no.,0,1,1,NA,NA,NA,R12,Heartburn,FALSE,FALSE
Dysphagia (R13),no.,882,650,1532,5.2,2.9,3.9,R13,Dysphagia,FALSE,FALSE
Flatulence and related conditions (R14),no.,2,2,4,NA,NA,NA,R14,Flatulence and related conditions,FALSE,FALSE
Faecal incontinence (R15),no.,9,22,31,NA,0.1,0.1,R15,Faecal incontinence,FALSE,FALSE
"Hepatomegaly and splenomegaly, not elsewhere classified (R16)",no.,6,13,19,NA,NA,NA,R16,"Hepatomegaly and splenomegaly, not elsewhere classified",FALSE,FALSE
Unspecified jaundice (R17),no.,17,11,28,NA,NA,0.1,R17,Unspecified jaundice,FALSE,FALSE
Ascites (R18),no.,142,105,247,0.9,0.6,0.7,R18,Ascites,FALSE,FALSE
Other symptoms and signs involving the digestive system and abdomen (R19),no.,89,113,202,0.5,0.5,0.5,R19,Other symptoms and signs involving the digestive system and abdomen,FALSE,FALSE
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),no.,10,14,24,NA,NA,0.1,R20-R23,Symptoms and signs involving the skin and subcutaneous tissue,FALSE,FALSE
Disturbances of skin sensation (R20),no.,2,2,4,NA,NA,NA,R20,Disturbances of skin sensation,FALSE,FALSE
Rash and other nonspecific skin eruption (R21),no.,1,1,2,NA,NA,NA,R21,Rash and other nonspecific skin eruption,FALSE,FALSE
"Localized swelling, mass and lump of skin and subcutaneous tissue (R22)",no.,6,8,14,NA,NA,NA,R22,"Localized swelling, mass and lump of skin and subcutaneous tissue",FALSE,FALSE
Other skin changes (R23),no.,1,3,4,NA,NA,NA,R23,Other skin changes,FALSE,FALSE
Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29),no.,1283,1390,2673,7.6,6.3,6.9,R25-R29,Symptoms and signs involving the nervous and musculoskeletal systems,FALSE,FALSE
Abnormal involuntary movements (R25),no.,15,14,29,NA,NA,0.1,R25,Abnormal involuntary movements,FALSE,FALSE
Abnormalities of gait and mobility (R26),no.,461,670,1131,2.7,3.1,2.9,R26,Abnormalities of gait and mobility,FALSE,FALSE
Other lack of coordination (R27),no.,12,9,21,NA,NA,0.1,R27,Other lack of coordination,FALSE,FALSE
Other symptoms and signs involving the nervous and musculoskeletal systems (R29),no.,843,755,1598,5,3.4,4.1,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,FALSE,FALSE
Symptoms and signs involving the urinary system (R30-R39),no.,437,274,711,2.6,1.3,1.9,R30-R39,Symptoms and signs involving the urinary system,FALSE,FALSE
Pain associated with micturition (R30),no.,1,0,1,NA,NA,NA,R30,Pain associated with micturition,FALSE,FALSE
Unspecified haematuria (R31),no.,113,17,130,0.7,NA,0.3,R31,Unspecified haematuria,FALSE,FALSE
Unspecified urinary incontinence (R32),no.,48,89,137,0.3,0.4,0.3,R32,Unspecified urinary incontinence,FALSE,FALSE
Retention of urine (R33),no.,141,41,182,0.8,0.2,0.5,R33,Retention of urine,FALSE,FALSE
Anuria and oliguria (R34),no.,136,126,262,0.8,0.6,0.7,R34,Anuria and oliguria,FALSE,FALSE
Polyuria (R35),no.,2,1,3,NA,NA,NA,R35,Polyuria,FALSE,FALSE
Urethral discharge (R36),no.,0,0,0,NA,NA,NA,R36,Urethral discharge,FALSE,FALSE
Other symptoms and signs involving the urinary system (R39),no.,2,0,2,NA,NA,NA,R39,Other symptoms and signs involving the urinary system,FALSE,FALSE
"Symptoms and signs involving cognition, perception, emotional state and behaviour (R40-R46)",no.,2225,1853,4078,14.6,9,11.8,R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour",FALSE,FALSE
"Somnolence, stupor and coma (R40)",no.,77,99,176,0.5,0.5,0.5,R40,"Somnolence, stupor and coma",FALSE,FALSE
