cause_icd10,unit,reported_alone,with_1_other,with_2_other,with_3_other,with_4_other,with_5_plus,icd10_code,cause_name,is_chapter,is_total
Noninflammatory disorders of female genital tract (N80-N98),no.,0,5,6,8,22,5.1,N80-N98,Noninflammatory disorders of female genital tract,FALSE,FALSE
Endometriosis (N80),no.,0,0,0,0,1,9,N80,Endometriosis,FALSE,FALSE
Female genital prolapse (N81),no.,0,1,1,1,3,5.2,N81,Female genital prolapse,FALSE,FALSE
Fistulae involving female genital tract (N82),no.,0,1,3,2,3,4.6,N82,Fistulae involving female genital tract,FALSE,FALSE
"Noninflammatory disorders of ovary, fallopian tube and broad ligament (N83)",no.,0,1,0,3,4,4.5,N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament",FALSE,FALSE
Polyp of female genital tract (N84),no.,0,0,0,0,1,7,N84,Polyp of female genital tract,FALSE,FALSE
"Other noninflammatory disorders of uterus, except cervix (N85)",no.,0,1,2,1,7,5.3,N85,"Other noninflammatory disorders of uterus, except cervix",FALSE,FALSE
Erosion and ectropion of cervix uteri (N86),no.,0,0,0,0,0,NA,N86,Erosion and ectropion of cervix uteri,FALSE,FALSE
Dysplasia of cervix uteri (N87),no.,0,0,0,0,0,NA,N87,Dysplasia of cervix uteri,FALSE,FALSE
Other noninflammatory disorders of cervix uteri (N88),no.,0,0,0,0,0,NA,N88,Other noninflammatory disorders of cervix uteri,FALSE,FALSE
Other noninflammatory disorders of vagina (N89),no.,0,0,0,0,0,NA,N89,Other noninflammatory disorders of vagina,FALSE,FALSE
Other noninflammatory disorders of vulva and perineum (N90),no.,0,0,0,0,0,NA,N90,Other noninflammatory disorders of vulva and perineum,FALSE,FALSE
"Absent, scanty and rare menstruation (N91)",no.,0,0,0,0,0,NA,N91,"Absent, scanty and rare menstruation",FALSE,FALSE
"Excessive, frequent and irregular menstruation (N92)",no.,0,0,0,0,0,NA,N92,"Excessive, frequent and irregular menstruation",FALSE,FALSE
Other abnormal uterine and vaginal bleeding (N93),no.,0,1,0,1,1,4,N93,Other abnormal uterine and vaginal bleeding,FALSE,FALSE
Pain and other conditions associated with female genital organs and menstrual cycle (N94),no.,0,0,0,0,0,NA,N94,Pain and other conditions associated with female genital organs and menstrual cycle,FALSE,FALSE
Menopausal and other perimenopausal disorders (N95),no.,0,0,0,0,2,7.5,N95,Menopausal and other perimenopausal disorders,FALSE,FALSE
Habitual aborter (N96),no.,0,0,0,0,0,NA,N96,Habitual aborter,FALSE,FALSE
Female infertility (N97),no.,0,0,0,0,0,NA,N97,Female infertility,FALSE,FALSE
Complications associated with artificial fertilization (N98),no.,0,0,0,0,0,NA,N98,Complications associated with artificial fertilization,FALSE,FALSE
Other disorders of the genitourinary system (N99-N99),no.,0,0,0,0,0,NA,N99-N99,Other disorders of the genitourinary system,FALSE,FALSE
"Postprocedural disorders of genitourinary system, not elsewhere classified (N99)",no.,0,0,0,0,0,NA,N99,"Postprocedural disorders of genitourinary system, not elsewhere classified",FALSE,FALSE
"CHAPTER XV Pregnancy, childbirth and the puerperium (O00-O99)",no.,0,0,1,0,4,5.8,O00-O99,"CHAPTER XV Pregnancy, childbirth and the puerperium",TRUE,FALSE
Pregnancy with abortive outcome (O00-O08),no.,0,0,0,0,0,NA,O00-O08,Pregnancy with abortive outcome,FALSE,FALSE
Ectopic pregnancy (O00),no.,0,0,0,0,0,NA,O00,Ectopic pregnancy,FALSE,FALSE
Hydatidiform mole (O01),no.,0,0,0,0,0,NA,O01,Hydatidiform mole,FALSE,FALSE
Other abnormal products of conception (O02),no.,0,0,0,0,0,NA,O02,Other abnormal products of conception,FALSE,FALSE
Spontaneous abortion (O03),no.,0,0,0,0,0,NA,O03,Spontaneous abortion,FALSE,FALSE
Medical abortion (O04),no.,0,0,0,0,0,NA,O04,Medical abortion,FALSE,FALSE
Other abortion (O05),no.,0,0,0,0,0,NA,O05,Other abortion,FALSE,FALSE
Unspecified abortion (O06),no.,0,0,0,0,0,NA,O06,Unspecified abortion,FALSE,FALSE
Failed attempted abortion (O07),no.,0,0,0,0,0,NA,O07,Failed attempted abortion,FALSE,FALSE
Complications following abortion and ectopic and molar pregnancy (O08),no.,0,0,0,0,0,NA,O08,Complications following abortion and ectopic and molar pregnancy,FALSE,FALSE
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",no.,0,0,0,0,0,NA,O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",FALSE,FALSE
"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium (O10)",no.,0,0,0,0,0,NA,O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",FALSE,FALSE
Pre-existing hypertensive disorder with superimposed proteinuria (O11),no.,0,0,0,0,0,NA,O11,Pre-existing hypertensive disorder with superimposed proteinuria,FALSE,FALSE
Gestational [pregnancy-induced] oedema and proteinuria without hypertension (O12),no.,0,0,0,0,0,NA,O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension,FALSE,FALSE
Gestational [pregnancy-induced] hypertension without significant proteinuria (O13),no.,0,0,0,0,0,NA,O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,FALSE,FALSE
Gestational [pregnancy-induced] hypertension with significant proteinuria (O14),no.,0,0,0,0,0,NA,O14,Gestational [pregnancy-induced] hypertension with significant proteinuria,FALSE,FALSE
Eclampsia (O15),no.,0,0,0,0,0,NA,O15,Eclampsia,FALSE,FALSE
Unspecified maternal hypertension (O16),no.,0,0,0,0,0,NA,O16,Unspecified maternal hypertension,FALSE,FALSE
Other maternal disorders predominantly related to pregnancy (O20-O29),no.,0,0,0,0,0,NA,O20-O29,Other maternal disorders predominantly related to pregnancy,FALSE,FALSE
Haemorrhage in early pregnancy (O20),no.,0,0,0,0,0,NA,O20,Haemorrhage in early pregnancy,FALSE,FALSE
Excessive vomiting in pregnancy (O21),no.,0,0,0,0,0,NA,O21,Excessive vomiting in pregnancy,FALSE,FALSE
Venous complications in pregnancy (O22),no.,0,0,0,0,0,NA,O22,Venous complications in pregnancy,FALSE,FALSE
Infections of genitourinary tract in pregnancy (O23),no.,0,0,0,0,0,NA,O23,Infections of genitourinary tract in pregnancy,FALSE,FALSE
Diabetes mellitus in pregnancy (O24),no.,0,0,0,0,0,NA,O24,Diabetes mellitus in pregnancy,FALSE,FALSE
Malnutrition in pregnancy (O25),no.,0,0,0,0,0,NA,O25,Malnutrition in pregnancy,FALSE,FALSE
Maternal care for other conditions predominantly related to pregnancy (O26),no.,0,0,0,0,0,NA,O26,Maternal care for other conditions predominantly related to pregnancy,FALSE,FALSE
Abnormal findings on antenatal screening of mother (O28),no.,0,0,0,0,0,NA,O28,Abnormal findings on antenatal screening of mother,FALSE,FALSE
Complications of anaesthesia during pregnancy (O29),no.,0,0,0,0,0,NA,O29,Complications of anaesthesia during pregnancy,FALSE,FALSE
Maternal care related to the fetus and amniotic cavity and possible delivery problems (O30-O48),no.,0,0,0,0,2,7.5,O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,FALSE,FALSE
Multiple gestation (O30),no.,0,0,0,0,0,NA,O30,Multiple gestation,FALSE,FALSE
Complications specific to multiple gestation (O31),no.,0,0,0,0,0,NA,O31,Complications specific to multiple gestation,FALSE,FALSE
Maternal care for known or suspected malpresentation of fetus (O32),no.,0,0,0,0,0,NA,O32,Maternal care for known or suspected malpresentation of fetus,FALSE,FALSE
Maternal care for known or suspected disproportion (O33),no.,0,0,0,0,0,NA,O33,Maternal care for known or suspected disproportion,FALSE,FALSE
Maternal care for known or suspected abnormality of pelvic organs (O34),no.,0,0,0,0,0,NA,O34,Maternal care for known or suspected abnormality of pelvic organs,FALSE,FALSE
Maternal care for known or suspected fetal abnormality and damage (O35),no.,0,0,0,0,0,NA,O35,Maternal care for known or suspected fetal abnormality and damage,FALSE,FALSE
Maternal care for other known or suspected fetal problems (O36),no.,0,0,0,0,0,NA,O36,Maternal care for other known or suspected fetal problems,FALSE,FALSE
Polyhydramnios (O40),no.,0,0,0,0,0,NA,O40,Polyhydramnios,FALSE,FALSE
Other disorders of amniotic fluid and membranes (O41),no.,0,0,0,0,1,7,O41,Other disorders of amniotic fluid and membranes,FALSE,FALSE
Premature rupture of membranes (O42),no.,0,0,0,0,0,NA,O42,Premature rupture of membranes,FALSE,FALSE
Placental disorders (O43),no.,0,0,0,0,1,8,O43,Placental disorders,FALSE,FALSE
Placenta praevia (O44),no.,0,0,0,0,0,NA,O44,Placenta praevia,FALSE,FALSE
Premature separation of placenta [abruptio placentae] (O45),no.,0,0,0,0,0,NA,O45,Premature separation of placenta [abruptio placentae],FALSE,FALSE
"Antepartum haemorrhage, not elsewhere classified (O46)",no.,0,0,0,0,0,NA,O46,"Antepartum haemorrhage, not elsewhere classified",FALSE,FALSE
False labour (O47),no.,0,0,0,0,0,NA,O47,False labour,FALSE,FALSE
Prolonged pregnancy (O48),no.,0,0,0,0,0,NA,O48,Prolonged pregnancy,FALSE,FALSE
Complications of labour and delivery (O60-O75),no.,0,0,0,0,0,NA,O60-O75,Complications of labour and delivery,FALSE,FALSE
Preterm labour and delivery (O60),no.,0,0,0,0,0,NA,O60,Preterm labour and delivery,FALSE,FALSE
Failed induction of labour (O61),no.,0,0,0,0,0,NA,O61,Failed induction of labour,FALSE,FALSE
Abnormalities of forces of labour (O62),no.,0,0,0,0,0,NA,O62,Abnormalities of forces of labour,FALSE,FALSE
Long labour (O63),no.,0,0,0,0,0,NA,O63,Long labour,FALSE,FALSE
Obstructed labour due to malposition and malpresentation of fetus (O64),no.,0,0,0,0,0,NA,O64,Obstructed labour due to malposition and malpresentation of fetus,FALSE,FALSE
Obstructed labour due to maternal pelvic abnormality (O65),no.,0,0,0,0,0,NA,O65,Obstructed labour due to maternal pelvic abnormality,FALSE,FALSE
Other obstructed labour (O66),no.,0,0,0,0,0,NA,O66,Other obstructed labour,FALSE,FALSE
"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified (O67)",no.,0,0,0,0,0,NA,O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified",FALSE,FALSE
Labour and delivery complicated by fetal stress [distress] (O68),no.,0,0,0,0,0,NA,O68,Labour and delivery complicated by fetal stress [distress],FALSE,FALSE
Labour and delivery complicated by umbilical cord complications (O69),no.,0,0,0,0,0,NA,O69,Labour and delivery complicated by umbilical cord complications,FALSE,FALSE
Perineal laceration during delivery (O70),no.,0,0,0,0,0,NA,O70,Perineal laceration during delivery,FALSE,FALSE
Other obstetric trauma (O71),no.,0,0,0,0,0,NA,O71,Other obstetric trauma,FALSE,FALSE
Postpartum haemorrhage (O72),no.,0,0,0,0,0,NA,O72,Postpartum haemorrhage,FALSE,FALSE
"Retained placenta and membranes, without haemorrhage (O73)",no.,0,0,0,0,0,NA,O73,"Retained placenta and membranes, without haemorrhage",FALSE,FALSE
Complications of anaesthesia during labour and delivery (O74),no.,0,0,0,0,0,NA,O74,Complications of anaesthesia during labour and delivery,FALSE,FALSE
"Other complications of labour and delivery, not elsewhere classified (O75)",no.,0,0,0,0,0,NA,O75,"Other complications of labour and delivery, not elsewhere classified",FALSE,FALSE
Delivery (O80-O84),no.,0,0,0,0,0,NA,O80-O84,Delivery,FALSE,FALSE
Single spontaneous delivery (O80),no.,0,0,0,0,0,NA,O80,Single spontaneous delivery,FALSE,FALSE
Single delivery by forceps and vacuum extractor (O81),no.,0,0,0,0,0,NA,O81,Single delivery by forceps and vacuum extractor,FALSE,FALSE
Single delivery by caesarean section (O82),no.,0,0,0,0,0,NA,O82,Single delivery by caesarean section,FALSE,FALSE
Other assisted single delivery (O83),no.,0,0,0,0,0,NA,O83,Other assisted single delivery,FALSE,FALSE
Multiple delivery (O84),no.,0,0,0,0,0,NA,O84,Multiple delivery,FALSE,FALSE
Complications predominantly related to the puerperium (O85-O92),no.,0,0,0,0,1,6,O85-O92,Complications predominantly related to the puerperium,FALSE,FALSE
Puerperal sepsis (O85),no.,0,0,0,0,0,NA,O85,Puerperal sepsis,FALSE,FALSE
Other puerperal infections (O86),no.,0,0,0,0,0,NA,O86,Other puerperal infections,FALSE,FALSE
Venous complications in the puerperium (O87),no.,0,0,0,0,0,NA,O87,Venous complications in the puerperium,FALSE,FALSE
Obstetric embolism (O88),no.,0,0,0,0,0,NA,O88,Obstetric embolism,FALSE,FALSE
Complications of anaesthesia during the puerperium (O89),no.,0,0,0,0,0,NA,O89,Complications of anaesthesia during the puerperium,FALSE,FALSE
"Complications of the puerperium, not elsewhere classified (O90)",no.,0,0,0,0,1,6,O90,"Complications of the puerperium, not elsewhere classified",FALSE,FALSE
Infections of breast associated with childbirth (O91),no.,0,0,0,0,0,NA,O91,Infections of breast associated with childbirth,FALSE,FALSE
Other disorders of breast and lactation associated with childbirth (O92),no.,0,0,0,0,0,NA,O92,Other disorders of breast and lactation associated with childbirth,FALSE,FALSE
Other obstetric conditions (O95-O99),no.,0,0,1,0,1,4,O95-O99,Other obstetric conditions,FALSE,FALSE
Obstetric death of unspecified cause (O95),no.,0,0,0,0,0,NA,O95,Obstetric death of unspecified cause,FALSE,FALSE
Death from any obstetric cause occurring more than 42 days but less than one year after delivery (O96),no.,0,0,0,0,0,NA,O96,Death from any obstetric cause occurring more than 42 days but less than one year after delivery,FALSE,FALSE
Death from sequelae of direct obstetric causes (O97),no.,0,0,0,0,0,NA,O97,Death from sequelae of direct obstetric causes,FALSE,FALSE
"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium (O98)",no.,0,0,0,0,1,5,O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",FALSE,FALSE
"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium (O99)",no.,0,0,1,0,0,3,O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",FALSE,FALSE
CHAPTER XVI Certain conditions originating in the perinatal period (P00-P96),no.,94,183,159,61,69,2.8,P00-P96,CHAPTER XVI Certain conditions originating in the perinatal period,TRUE,FALSE
"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery (P00-P04)",no.,0,110,120,36,36,3.1,P00-P04,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",FALSE,FALSE
Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy (P00),no.,0,12,22,4,5,3.1,P00,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,FALSE,FALSE
Fetus and newborn affected by maternal complications of pregnancy (P01),no.,0,41,55,13,8,3,P01,Fetus and newborn affected by maternal complications of pregnancy,FALSE,FALSE
"Fetus and newborn affected by complications of placenta, cord and membranes (P02)",no.,0,24,34,16,21,3.5,P02,"Fetus and newborn affected by complications of placenta, cord and membranes",FALSE,FALSE
Fetus and newborn affected by other complications of labour and delivery (P03),no.,0,33,9,3,1,2.4,P03,Fetus and newborn affected by other complications of labour and delivery,FALSE,FALSE
Fetus and newborn affected by noxious influences transmitted via placenta or breast milk (P04),no.,0,0,0,0,1,5,P04,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk,FALSE,FALSE
Disorders related to length of gestation and fetal growth (P05-P08),no.,41,3,3,3,0,1.4,P05-P08,Disorders related to length of gestation and fetal growth,FALSE,FALSE
Slow fetal growth and fetal malnutrition (P05),no.,0,0,2,2,0,3.5,P05,Slow fetal growth and fetal malnutrition,FALSE,FALSE
"Disorders related to short gestation and low birth weight, not elsewhere classified (P07)",no.,41,3,1,1,0,1.2,P07,"Disorders related to short gestation and low birth weight, not elsewhere classified",FALSE,FALSE
Disorders related to long gestation and high birth weight (P08),no.,0,0,0,0,0,NA,P08,Disorders related to long gestation and high birth weight,FALSE,FALSE
Birth trauma (P10-P15),no.,0,0,0,0,1,10,P10-P15,Birth trauma,FALSE,FALSE
Intracranial laceration and haemorrhage due to birth injury (P10),no.,0,0,0,0,0,NA,P10,Intracranial laceration and haemorrhage due to birth injury,FALSE,FALSE
Other birth injuries to central nervous system (P11),no.,0,0,0,0,1,10,P11,Other birth injuries to central nervous system,FALSE,FALSE
Birth injury to scalp (P12),no.,0,0,0,0,0,NA,P12,Birth injury to scalp,FALSE,FALSE
Birth injury to skeleton (P13),no.,0,0,0,0,0,NA,P13,Birth injury to skeleton,FALSE,FALSE
Birth injury to peripheral nervous system (P14),no.,0,0,0,0,0,NA,P14,Birth injury to peripheral nervous system,FALSE,FALSE
Other birth injuries (P15),no.,0,0,0,0,0,NA,P15,Other birth injuries,FALSE,FALSE
Respiratory and cardiovascular disorders specific to the perinatal period (P20-P29),no.,2,11,10,9,9,3.4,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,FALSE,FALSE
Intrauterine hypoxia (P20),no.,0,0,0,0,1,5,P20,Intrauterine hypoxia,FALSE,FALSE
Birth asphyxia (P21),no.,0,0,1,0,1,6,P21,Birth asphyxia,FALSE,FALSE
Respiratory distress of newborn (P22),no.,0,2,1,1,1,3.2,P22,Respiratory distress of newborn,FALSE,FALSE
Congenital pneumonia (P23),no.,1,0,0,0,0,1,P23,Congenital pneumonia,FALSE,FALSE
Neonatal aspiration syndromes (P24),no.,0,0,2,1,1,3.8,P24,Neonatal aspiration syndromes,FALSE,FALSE
Interstitial emphysema and related conditions originating in the perinatal period (P25),no.,1,0,2,1,0,2.8,P25,Interstitial emphysema and related conditions originating in the perinatal period,FALSE,FALSE
Pulmonary haemorrhage originating in the perinatal period (P26),no.,0,2,0,0,0,2,P26,Pulmonary haemorrhage originating in the perinatal period,FALSE,FALSE
Chronic respiratory disease originating in the perinatal period (P27),no.,0,1,2,1,2,3.7,P27,Chronic respiratory disease originating in the perinatal period,FALSE,FALSE
Other respiratory conditions originating in the perinatal period (P28),no.,0,4,1,2,0,2.7,P28,Other respiratory conditions originating in the perinatal period,FALSE,FALSE
Cardiovascular disorders originating in the perinatal period (P29),no.,0,2,1,3,3,4,P29,Cardiovascular disorders originating in the perinatal period,FALSE,FALSE
Infections specific to the perinatal period (P35-P39),no.,5,7,6,4,8,3.3,P35-P39,Infections specific to the perinatal period,FALSE,FALSE
Congenital viral diseases (P35),no.,2,1,0,2,4,3.9,P35,Congenital viral diseases,FALSE,FALSE
Bacterial sepsis of newborn (P36),no.,3,5,6,1,4,3.1,P36,Bacterial sepsis of newborn,FALSE,FALSE
Other congenital infectious and parasitic diseases (P37),no.,0,1,0,0,0,2,P37,Other congenital infectious and parasitic diseases,FALSE,FALSE
Omphalitis of newborn with or without mild haemorrhage (P38),no.,0,0,0,0,0,NA,P38,Omphalitis of newborn with or without mild haemorrhage,FALSE,FALSE
Other infections specific to the perinatal period (P39),no.,0,0,0,1,0,4,P39,Other infections specific to the perinatal period,FALSE,FALSE
Haemorrhagic and haematological disorders of fetus and newborn (P50-P61),no.,2,9,11,5,7,3.3,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,FALSE,FALSE
Fetal blood loss (P50),no.,1,0,0,0,1,3,P50,Fetal blood loss,FALSE,FALSE
Umbilical haemorrhage of newborn (P51),no.,0,0,0,0,0,NA,P51,Umbilical haemorrhage of newborn,FALSE,FALSE
Intracranial nontraumatic haemorrhage of fetus and newborn (P52),no.,1,9,9,4,6,3.3,P52,Intracranial nontraumatic haemorrhage of fetus and newborn,FALSE,FALSE
Haemorrhagic disease of fetus and newborn (P53),no.,0,0,0,0,0,NA,P53,Haemorrhagic disease of fetus and newborn,FALSE,FALSE
Other neonatal haemorrhages (P54),no.,0,0,0,0,0,NA,P54,Other neonatal haemorrhages,FALSE,FALSE
Haemolytic disease of fetus and newborn (P55),no.,0,0,0,0,0,NA,P55,Haemolytic disease of fetus and newborn,FALSE,FALSE
Hydrops fetalis due to haemolytic disease (P56),no.,0,0,0,0,0,NA,P56,Hydrops fetalis due to haemolytic disease,FALSE,FALSE
Kernicterus (P57),no.,0,0,0,0,0,NA,P57,Kernicterus,FALSE,FALSE
Neonatal jaundice due to other excessive haemolysis (P58),no.,0,0,0,0,0,NA,P58,Neonatal jaundice due to other excessive haemolysis,FALSE,FALSE
Neonatal jaundice from other and unspecified causes (P59),no.,0,0,0,0,0,NA,P59,Neonatal jaundice from other and unspecified causes,FALSE,FALSE
Disseminated intravascular coagulation of fetus and newborn (P60),no.,0,0,1,0,0,3,P60,Disseminated intravascular coagulation of fetus and newborn,FALSE,FALSE
Other perinatal haematological disorders (P61),no.,0,0,1,1,0,3.5,P61,Other perinatal haematological disorders,FALSE,FALSE
Transitory endocrine and metabolic disorders specific to fetus and newborn (P70-P74),no.,1,1,0,0,0,1.5,P70-P74,Transitory endocrine and metabolic disorders specific to fetus and newborn,FALSE,FALSE
Transitory disorders of carbohydrate metabolism specific to fetus and newborn (P70),no.,1,1,0,0,0,1.5,P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,FALSE,FALSE
Transitory neonatal disorders of calcium and magnesium metabolism (P71),no.,0,0,0,0,0,NA,P71,Transitory neonatal disorders of calcium and magnesium metabolism,FALSE,FALSE
Other transitory neonatal endocrine disorders (P72),no.,0,0,0,0,0,NA,P72,Other transitory neonatal endocrine disorders,FALSE,FALSE
Other transitory neonatal electrolyte and metabolic disturbances (P74),no.,0,0,0,0,0,NA,P74,Other transitory neonatal electrolyte and metabolic disturbances,FALSE,FALSE
Digestive system disorders of fetus and newborn (P75-P78),no.,1,5,7,2,4,3.5,P75-P78,Digestive system disorders of fetus and newborn,FALSE,FALSE
Other intestinal obstruction of newborn (P76),no.,0,0,0,0,0,NA,P76,Other intestinal obstruction of newborn,FALSE,FALSE
Necrotizing enterocolitis of fetus and newborn (P77),no.,1,5,4,1,2,2.8,P77,Necrotizing enterocolitis of fetus and newborn,FALSE,FALSE
Other perinatal digestive system disorders (P78),no.,0,0,3,1,2,5,P78,Other perinatal digestive system disorders,FALSE,FALSE
Conditions involving the integument and temperature regulation of fetus and newborn (P80-P83),no.,2,4,1,1,1,2.9,P80-P83,Conditions involving the integument and temperature regulation of fetus and newborn,FALSE,FALSE
Hypothermia of newborn (P80),no.,0,0,0,0,0,NA,P80,Hypothermia of newborn,FALSE,FALSE
Other disturbances of temperature regulation of newborn (P81),no.,0,0,0,0,0,NA,P81,Other disturbances of temperature regulation of newborn,FALSE,FALSE
Other conditions of integument specific to fetus and newborn (P83),no.,2,4,1,1,1,2.9,P83,Other conditions of integument specific to fetus and newborn,FALSE,FALSE
Other disorders originating in the perinatal period (P90-P96),no.,40,33,1,1,3,1.6,P90-P96,Other disorders originating in the perinatal period,FALSE,FALSE
Convulsions of newborn (P90),no.,0,0,0,0,0,NA,P90,Convulsions of newborn,FALSE,FALSE
Other disturbances of cerebral status of newborn (P91),no.,6,9,1,0,1,1.9,P91,Other disturbances of cerebral status of newborn,FALSE,FALSE
Feeding problems of newborn (P92),no.,0,0,0,0,0,NA,P92,Feeding problems of newborn,FALSE,FALSE
Reactions and intoxications due to drugs administered to fetus and newborn (P93),no.,0,0,0,0,0,NA,P93,Reactions and intoxications due to drugs administered to fetus and newborn,FALSE,FALSE
Disorders of muscle tone of newborn (P94),no.,0,0,0,0,0,NA,P94,Disorders of muscle tone of newborn,FALSE,FALSE
Fetal death of unspecified cause (P95),no.,0,0,0,0,0,NA,P95,Fetal death of unspecified cause,FALSE,FALSE
Other conditions originating in the perinatal period (P96),no.,34,24,0,1,2,1.6,P96,Other conditions originating in the perinatal period,FALSE,FALSE
"CHAPTER XVII Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",no.,60,166,141,95,188,3.7,Q00-Q99,"CHAPTER XVII Congenital malformations, deformations and chromosomal abnormalities",TRUE,FALSE
Congenital malformations of the nervous system (Q00-Q07),no.,9,11,11,6,18,3.7,Q00-Q07,Congenital malformations of the nervous system,FALSE,FALSE
Anencephaly and similar malformations (Q00),no.,7,2,1,0,0,1.4,Q00,Anencephaly and similar malformations,FALSE,FALSE
Encephalocele (Q01),no.,0,0,1,0,0,3,Q01,Encephalocele,FALSE,FALSE
Microcephaly (Q02),no.,0,0,0,1,1,6,Q02,Microcephaly,FALSE,FALSE
Congenital hydrocephalus (Q03),no.,0,1,2,2,3,4.1,Q03,Congenital hydrocephalus,FALSE,FALSE
Other congenital malformations of brain (Q04),no.,1,5,4,0,5,3.8,Q04,Other congenital malformations of brain,FALSE,FALSE
Spina bifida (Q05),no.,1,2,2,1,7,4.5,Q05,Spina bifida,FALSE,FALSE
Other congenital malformations of spinal cord (Q06),no.,0,0,0,0,0,NA,Q06,Other congenital malformations of spinal cord,FALSE,FALSE
Other congenital malformations of nervous system (Q07),no.,0,1,1,2,2,4.3,Q07,Other congenital malformations of nervous system,FALSE,FALSE
"Congenital malformations of eye, ear, face and neck (Q10-Q18)",no.,0,0,0,0,0,NA,Q10-Q18,"Congenital malformations of eye, ear, face and neck",FALSE,FALSE
"Congenital malformations of eyelid, lacrimal apparatus and orbit (Q10)",no.,0,0,0,0,0,NA,Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit",FALSE,FALSE
"Anophthalmos, microphthalmos and macrophthalmos (Q11)",no.,0,0,0,0,0,NA,Q11,"Anophthalmos, microphthalmos and macrophthalmos",FALSE,FALSE
Congenital lens malformations (Q12),no.,0,0,0,0,0,NA,Q12,Congenital lens malformations,FALSE,FALSE
Congenital malformations of anterior segment of eye (Q13),no.,0,0,0,0,0,NA,Q13,Congenital malformations of anterior segment of eye,FALSE,FALSE
Congenital malformations of posterior segment of eye (Q14),no.,0,0,0,0,0,NA,Q14,Congenital malformations of posterior segment of eye,FALSE,FALSE
Other congenital malformations of eye (Q15),no.,0,0,0,0,0,NA,Q15,Other congenital malformations of eye,FALSE,FALSE
Congenital malformations of ear causing impairment of hearing (Q16),no.,0,0,0,0,0,NA,Q16,Congenital malformations of ear causing impairment of hearing,FALSE,FALSE
Other congenital malformations of ear (Q17),no.,0,0,0,0,0,NA,Q17,Other congenital malformations of ear,FALSE,FALSE
Other congenital malformations of face and neck (Q18),no.,0,0,0,0,0,NA,Q18,Other congenital malformations of face and neck,FALSE,FALSE
Congenital malformations of the circulatory system (Q20-Q28),no.,16,40,36,26,52,3.8,Q20-Q28,Congenital malformations of the circulatory system,FALSE,FALSE
Congenital malformations of cardiac chambers and connections (Q20),no.,2,2,1,5,2,3.7,Q20,Congenital malformations of cardiac chambers and connections,FALSE,FALSE
Congenital malformations of cardiac septa (Q21),no.,0,4,8,7,18,5.1,Q21,Congenital malformations of cardiac septa,FALSE,FALSE
Congenital malformations of pulmonary and tricuspid valves (Q22),no.,0,4,0,2,3,3.7,Q22,Congenital malformations of pulmonary and tricuspid valves,FALSE,FALSE
Congenital malformations of aortic and mitral valves (Q23),no.,2,11,5,4,9,3.5,Q23,Congenital malformations of aortic and mitral valves,FALSE,FALSE
Other congenital malformations of heart (Q24),no.,10,6,16,4,11,3.3,Q24,Other congenital malformations of heart,FALSE,FALSE
Congenital malformations of great arteries (Q25),no.,1,3,3,3,5,4.1,Q25,Congenital malformations of great arteries,FALSE,FALSE
Congenital malformations of great veins (Q26),no.,0,0,1,0,0,3,Q26,Congenital malformations of great veins,FALSE,FALSE
Other congenital malformations of peripheral vascular system (Q27),no.,0,6,1,0,3,3.5,Q27,Other congenital malformations of peripheral vascular system,FALSE,FALSE
Other congenital malformations of circulatory system (Q28),no.,1,4,1,1,1,2.8,Q28,Other congenital malformations of circulatory system,FALSE,FALSE
Congenital malformations of the respiratory system (Q30-Q34),no.,1,5,3,1,2,3.2,Q30-Q34,Congenital malformations of the respiratory system,FALSE,FALSE
Congenital malformations of nose (Q30),no.,0,0,0,0,0,NA,Q30,Congenital malformations of nose,FALSE,FALSE
Congenital malformations of larynx (Q31),no.,0,0,0,0,0,NA,Q31,Congenital malformations of larynx,FALSE,FALSE
